Id,Direction,EntryTime,ExitTime,EntryPrice,ExitPrice,Contracts,Pnl1c,PnlNet,ExitReason,MlScore
1,Long,2006-02-01 15:23:00,2006-02-03 17:43:00,128500,126240,20,-2260,-45200,signal_reverse,0,000
2,Long,2006-02-06 15:21:00,2006-02-15 15:12:00,129150,133650,24,4500,108000,signal_reverse,0,000
3,Long,2006-02-15 16:36:00,2006-03-07 18:42:00,134445,138300,24,3855,92520,signal_reverse,0,000
4,Long,2006-03-23 15:23:00,2006-03-23 16:33:00,146700,145805,26,-895,-23270,signal_reverse,0,000
5,Long,2006-03-30 14:48:00,2006-05-03 15:26:00,145000,173340,28,28340,793520,signal_reverse,0,000
6,Short,2006-05-17 18:05:00,2006-06-08 11:14:00,156360,134600,18,21760,391680,expiration,0,000
7,Long,2006-06-28 17:15:00,2006-07-17 15:00:00,142250,144165,20,1915,38300,signal_reverse,0,000
8,Long,2006-07-31 14:49:00,2006-08-18 18:14:00,157330,158105,24,775,18600,signal_reverse,0,000
9,Long,2006-09-05 16:45:00,2006-09-06 15:09:00,164805,163480,34,-1325,-45050,signal_reverse,0,000
10,Short,2006-09-07 17:54:00,2006-09-08 11:17:00,158700,157500,32,1200,38400,expiration,0,000
11,Long,2006-10-09 18:44:00,2006-10-30 14:54:00,160690,160360,26,-330,-8580,signal_reverse,0,000
12,Long,2006-11-01 17:02:00,2006-11-02 16:45:00,164300,163500,34,-800,-27200,signal_reverse,0,000
13,Long,2006-11-03 17:23:00,2006-11-03 18:44:00,165000,165380,34,380,12920,signal_reverse,0,000
14,Long,2006-11-07 14:47:00,2006-12-07 18:43:00,167920,184300,32,16380,524160,signal_reverse,0,000
15,Long,2006-12-26 16:45:00,2006-12-26 18:44:00,186085,185415,40,-670,-26800,signal_reverse,0,000
16,Long,2006-12-27 16:20:00,2007-01-16 14:43:00,187500,187610,44,110,4840,signal_reverse,0,000
17,Long,2007-01-16 18:44:00,2007-01-17 17:15:00,188500,180305,18,-8195,-147510,close_opposing,0,000
18,Long,2007-01-26 17:35:00,2007-01-26 18:35:00,187000,186415,24,-585,-14040,signal_reverse,0,000
19,Short,2007-01-30 17:30:00,2007-02-01 14:36:00,181355,188360,30,-7005,-210150,close_opposing,0,000
20,Long,2007-02-02 14:50:00,2007-02-20 14:44:00,189935,189430,24,-505,-12120,signal_reverse,0,000
21,Long,2007-02-20 15:50:00,2007-02-20 17:01:00,190360,189335,28,-1025,-28700,signal_reverse,0,000
22,Long,2007-02-22 16:50:00,2007-02-27 17:41:00,192620,189700,32,-2920,-93440,signal_reverse,0,000
23,Short,2007-02-28 17:16:00,2007-03-09 11:14:00,183745,179300,18,4445,80010,expiration,0,000
24,Long,2007-03-23 14:53:00,2007-04-20 15:46:00,188605,193150,18,4545,81810,signal_reverse,0,000
25,Long,2007-04-20 17:48:00,2007-04-23 15:45:00,194590,194200,26,-390,-10140,signal_reverse,0,000
26,Long,2007-04-23 17:47:00,2007-04-24 14:35:00,194950,193140,26,-1810,-47060,signal_reverse,0,000
27,Short,2007-04-27 17:59:00,2007-04-28 17:12:00,188930,191250,24,-2320,-55680,signal_reverse,0,000
28,Short,2007-05-07 17:33:00,2007-06-08 11:55:00,191420,180730,40,10690,427600,expiration,0,000
29,Long,2007-06-18 14:31:00,2007-07-16 14:31:00,192500,208490,24,15990,383760,signal_reverse,0,000
30,Short,2007-08-09 17:14:00,2007-09-10 11:14:00,193550,190040,32,3510,112320,expiration,0,000
31,Long,2007-09-18 14:29:00,2007-10-03 14:29:00,195350,214000,36,18650,671400,signal_reverse,0,000
32,Long,2007-10-25 14:34:00,2007-10-25 17:59:00,217115,216050,30,-1065,-31950,signal_reverse,0,000
33,Long,2007-10-26 14:34:00,2007-11-14 14:34:00,219230,224730,28,5500,154000,signal_reverse,0,000
34,Long,2007-11-14 16:34:00,2007-11-15 14:34:00,225680,224485,22,-1195,-26290,signal_reverse,0,000
35,Short,2007-11-19 17:19:00,2007-12-05 14:34:00,217700,225190,32,-7490,-239680,close_opposing,0,000
36,Long,2007-12-06 15:07:00,2007-12-10 11:29:00,228740,229300,28,560,15680,expiration,0,000
37,Long,2007-12-18 14:34:00,2007-12-25 17:34:00,233845,233800,18,-45,-810,signal_reverse,0,000
38,Long,2008-01-14 14:34:00,2008-01-15 17:59:00,236450,235380,32,-1070,-34240,signal_reverse,0,000
39,Short,2008-01-16 17:19:00,2008-03-11 11:16:00,225080,201800,14,23280,325920,expiration,0,000
40,Short,2008-03-20 17:17:00,2008-03-26 17:17:00,196100,199200,16,-3100,-49600,signal_reverse,0,000
41,Long,2008-04-02 17:32:00,2008-04-03 16:32:00,206480,204670,22,-1810,-39820,signal_reverse,0,000
42,Long,2008-04-04 14:32:00,2008-04-04 16:32:00,205400,204795,24,-605,-14520,signal_reverse,0,000
43,Long,2008-04-07 14:32:00,2008-04-14 14:32:00,208375,204975,26,-3400,-88400,signal_reverse,0,000
44,Short,2008-04-14 17:17:00,2008-04-15 14:32:00,206395,207125,24,-730,-17520,close_opposing,0,000
45,Long,2008-04-16 14:32:00,2008-04-24 17:59:00,209300,209800,24,500,12000,signal_reverse,0,000
46,Long,2008-04-28 14:32:00,2008-04-29 17:32:00,213520,211290,26,-2230,-57980,signal_reverse,0,000
47,Long,2008-05-04 14:35:00,2008-05-04 15:35:00,213045,213395,32,350,11200,signal_reverse,0,000
48,Long,2008-05-07 16:32:00,2008-05-29 14:32:00,218450,242870,36,24420,879120,signal_reverse,0,000
49,Long,2008-05-29 16:32:00,2008-05-29 17:32:00,244330,243680,14,-650,-9100,signal_reverse,0,000
50,Short,2008-06-07 18:19:00,2008-06-09 11:14:00,234400,236315,24,-1915,-45960,expiration,0,000
51,Long,2008-06-18 14:32:00,2008-06-18 15:32:00,242085,241085,36,-1000,-36000,signal_reverse,0,000
52,Long,2008-06-19 14:32:00,2008-06-19 17:32:00,241475,241065,34,-410,-13940,signal_reverse,0,000
53,Short,2008-06-20 18:17:00,2008-06-20 21:26:00,238300,238325,40,-25,-1000,signal_reverse,0,000
54,Short,2008-06-23 17:17:00,2008-09-08 11:14:00,234130,153300,36,80830,2909880,expiration,0,000
55,Long,2008-09-25 18:47:00,2008-11-11 14:32:00,139855,73750,10,-66105,-661050,signal_reverse,0,000
56,Short,2008-11-11 17:17:00,2008-11-19 17:17:00,72525,61080,16,11445,183120,signal_reverse,0,000
57,Short,2008-11-19 19:02:00,2008-11-19 21:17:00,60555,60720,16,-165,-2640,signal_reverse,0,000
58,Short,2008-11-20 17:17:00,2008-11-25 14:32:00,55500,68510,18,-13010,-234180,close_opposing,0,000
59,Long,2008-11-26 14:32:00,2008-11-26 16:32:00,66250,65390,14,-860,-12040,signal_reverse,0,000
60,Long,2008-11-27 14:32:00,2008-12-03 17:17:00,69110,58925,18,-10185,-183330,close_opposing,0,000
61,Short,2008-12-04 17:17:00,2008-12-05 22:02:00,59695,60240,26,-545,-14170,signal_reverse,0,000
62,Long,2008-12-18 14:32:00,2008-12-18 19:47:00,66935,65530,36,-1405,-50580,signal_reverse,0,000
63,Short,2008-12-18 19:47:00,2009-02-24 20:32:00,65530,51380,36,14150,509400,signal_reverse,0,000
64,Short,2009-03-03 18:17:00,2009-03-03 20:32:00,52810,53290,40,-480,-19200,signal_reverse,0,000
65,Long,2009-03-04 14:32:00,2009-03-10 11:42:00,56120,59900,36,3780,136080,expiration,0,000
66,Long,2009-03-18 14:32:00,2009-03-24 14:32:00,64305,70990,26,6685,173810,signal_reverse,0,000
67,Long,2009-04-02 19:47:00,2009-04-03 17:32:00,73130,72250,30,-880,-26400,signal_reverse,0,000
68,Long,2009-04-06 14:32:00,2009-04-06 16:32:00,75945,72945,30,-3000,-90000,signal_reverse,0,000
69,Long,2009-04-08 14:32:00,2009-04-20 14:32:00,71590,76930,30,5340,160200,signal_reverse,0,000
70,Long,2009-04-24 14:39:00,2009-04-24 15:39:00,79225,78900,30,-325,-9750,signal_reverse,0,000
71,Short,2009-04-28 17:17:00,2009-04-30 14:32:00,74250,81150,40,-6900,-276000,close_opposing,0,000
72,Long,2009-05-04 14:32:00,2009-05-20 17:32:00,82030,102185,38,20155,765890,signal_reverse,0,000
73,Long,2009-05-22 14:32:00,2009-06-08 11:29:00,102415,110470,22,8055,177210,expiration,0,000
74,Short,2009-06-18 17:17:00,2009-06-22 17:17:00,99305,95120,24,4185,100440,signal_reverse,0,000
75,Long,2009-07-17 14:32:00,2009-07-29 15:32:00,90800,96075,32,5275,168800,signal_reverse,0,000
76,Long,2009-07-30 15:32:00,2009-08-11 14:32:00,97790,103805,22,6015,132330,signal_reverse,0,000
77,Short,2009-08-12 17:17:00,2009-08-21 18:47:00,101160,106840,28,-5680,-159040,close_opposing,0,000
78,Long,2009-08-24 14:32:00,2009-08-27 17:17:00,106745,106645,32,-100,-3200,close_opposing,0,000
79,Long,2009-08-27 17:32:00,2009-08-27 18:47:00,106510,104355,24,-2155,-51720,signal_reverse,0,000
80,Long,2009-08-28 14:32:00,2009-08-31 16:32:00,108365,104800,26,-3565,-92690,signal_reverse,0,000
81,Short,2009-09-02 17:17:00,2009-09-04 14:32:00,103335,107220,32,-3885,-124320,close_opposing,0,000
82,Long,2009-09-07 14:32:00,2009-09-08 11:29:00,107875,109645,32,1770,56640,expiration,0,000
83,Long,2009-09-18 14:32:00,2009-09-24 16:32:00,123180,124870,26,1690,43940,signal_reverse,0,000
84,Long,2009-09-29 17:32:00,2009-09-30 18:32:00,124300,123425,30,-875,-26250,signal_reverse,0,000
85,Long,2009-09-30 19:47:00,2009-10-01 15:32:00,124120,125230,32,1110,35520,signal_reverse,0,000
86,Long,2009-10-01 17:32:00,2009-10-01 18:32:00,125720,125400,34,-320,-10880,signal_reverse,0,000
87,Short,2009-10-02 18:02:00,2009-10-06 14:32:00,119430,124720,34,-5290,-179860,close_opposing,0,000
88,Long,2009-10-07 14:32:00,2009-10-21 14:32:00,129890,141330,36,11440,411840,signal_reverse,0,000
89,Long,2009-10-21 18:32:00,2009-10-22 16:32:00,144465,143980,22,-485,-10670,signal_reverse,0,000
90,Long,2009-10-26 18:32:00,2009-10-26 19:47:00,145720,143905,24,-1815,-43560,signal_reverse,0,000
91,Short,2009-10-28 19:47:00,2009-11-03 17:17:00,132865,128595,24,4270,102480,signal_reverse,0,000
92,Long,2009-11-09 18:32:00,2009-11-13 17:17:00,139840,139305,20,-535,-10700,close_opposing,0,000
93,Long,2009-11-13 17:32:00,2009-11-19 19:47:00,139595,143720,24,4125,99000,signal_reverse,0,000
94,Long,2009-11-23 14:32:00,2009-11-24 14:32:00,145135,143670,26,-1465,-38090,signal_reverse,0,000
95,Short,2009-12-07 17:17:00,2009-12-08 11:14:00,137300,136280,28,1020,28560,expiration,0,000
96,Long,2009-12-18 14:32:00,2009-12-25 14:32:00,143170,145200,24,2030,48720,signal_reverse,0,000
97,Long,2009-12-25 18:32:00,2009-12-30 14:32:00,145400,143490,52,-1910,-99320,signal_reverse,0,000
98,Long,2009-12-30 16:32:00,2010-01-19 17:32:00,143770,157205,68,13435,913580,signal_reverse,0,000
99,Long,2010-01-19 18:32:00,2010-01-20 18:32:00,159200,156450,36,-2750,-99000,signal_reverse,0,000
100,Short,2010-01-26 17:17:00,2010-01-28 22:02:00,144400,145800,30,-1400,-42000,signal_reverse,0,000
101,Long,2010-02-03 14:32:00,2010-02-03 16:32:00,153410,152380,38,-1030,-39140,signal_reverse,0,000
102,Long,2010-02-19 19:47:00,2010-02-24 14:32:00,143615,140375,28,-3240,-90720,signal_reverse,0,000
103,Long,2010-03-02 14:32:00,2010-03-09 11:29:00,144300,151160,40,6860,274400,expiration,0,000
104,Long,2010-03-18 14:32:00,2010-03-22 14:32:00,156035,150920,40,-5115,-204600,signal_reverse,0,000
105,Long,2010-03-30 14:32:00,2010-04-08 14:32:00,155660,157190,40,1530,61200,signal_reverse,0,000
106,Long,2010-04-08 15:32:00,2010-04-08 17:32:00,157450,156650,46,-800,-36800,signal_reverse,0,000
107,Long,2010-04-09 14:32:00,2010-04-16 14:32:00,159725,163665,48,3940,189120,signal_reverse,0,000
108,Short,2010-04-21 17:17:00,2010-04-23 17:17:00,158580,156755,40,1825,73000,signal_reverse,0,000
109,Short,2010-04-27 17:17:00,2010-06-01 16:47:00,156950,132905,40,24045,961800,signal_reverse,0,000
110,Long,2010-06-01 19:17:00,2010-06-02 13:59:00,136380,135555,26,-825,-21450,signal_reverse,0,000
111,Long,2010-06-02 15:02:00,2010-06-04 16:47:00,136420,135245,24,-1175,-28200,close_opposing,0,000
112,Short,2010-06-07 16:47:00,2010-06-08 10:44:00,133550,134910,22,-1360,-29920,expiration,0,000
113,Long,2010-06-18 13:59:00,2010-06-24 13:59:00,138760,140480,22,1720,37840,signal_reverse,0,000
114,Long,2010-06-24 15:02:00,2010-06-24 16:02:00,140030,139705,32,-325,-10400,signal_reverse,0,000
115,Short,2010-06-24 16:47:00,2010-07-01 17:32:00,141130,130065,34,11065,376210,signal_reverse,0,000
116,Long,2010-07-12 13:59:00,2010-08-06 17:02:00,136985,149710,32,12725,407200,signal_reverse,0,000
117,Long,2010-08-06 18:02:00,2010-08-06 19:17:00,150680,149730,36,-950,-34200,signal_reverse,0,000
118,Long,2010-08-09 13:59:00,2010-08-11 19:17:00,152145,144065,38,-8080,-307040,close_opposing,0,000
119,Short,2010-08-12 16:47:00,2010-09-01 18:02:00,142310,143810,40,-1500,-60000,close_opposing,0,000
120,Long,2010-09-02 13:59:00,2010-09-07 16:47:00,145880,145085,38,-795,-30210,close_opposing,0,000
121,Long,2010-09-07 17:02:00,2010-09-08 10:59:00,145345,145270,68,-75,-5100,expiration,0,000
122,Short,2010-09-28 18:17:00,2010-09-28 19:17:00,147475,147840,40,-365,-14600,signal_reverse,0,000
123,Long,2010-09-30 17:02:00,2010-10-14 13:59:00,150375,159540,52,9165,476580,signal_reverse,0,000
124,Long,2010-10-19 13:59:00,2010-10-19 16:02:00,159020,157170,42,-1850,-77700,signal_reverse,0,000
125,Long,2010-10-21 18:02:00,2010-10-27 13:59:00,159655,159915,34,260,8840,signal_reverse,0,000
126,Short,2010-10-28 16:47:00,2010-11-01 13:59:00,158655,160895,40,-2240,-89600,close_opposing,0,000
127,Long,2010-11-08 13:59:00,2010-11-12 13:59:00,163855,161375,44,-2480,-109120,signal_reverse,0,000
128,Short,2010-11-12 19:17:00,2010-11-23 16:47:00,160855,157185,40,3670,146800,signal_reverse,0,000
129,Short,2010-11-24 16:47:00,2010-11-25 19:17:00,158475,162015,40,-3540,-141600,close_opposing,0,000
130,Long,2010-12-01 15:02:00,2010-12-08 10:59:00,161255,172095,32,10840,346880,expiration,0,000
131,Long,2010-12-20 13:59:00,2010-12-20 19:17:00,173800,173195,52,-605,-31460,signal_reverse,0,000
132,Long,2010-12-21 13:59:00,2010-12-27 13:59:00,174770,176040,60,1270,76200,signal_reverse,0,000
