iter	Passed	Remaining
0	122	245062
1	125	125611
2	128	85788
3	133	66864
4	138	55214
5	146	48721
6	150	42933
7	154	38416
8	158	34954
9	161	32042
10	164	29726
11	168	27899
12	171	26240
13	174	24798
14	178	23557
15	181	22463
16	184	21500
17	188	20780
18	192	20063
19	196	19434
20	200	18919
21	203	18339
22	207	17812
23	211	17429
24	215	16989
25	218	16568
26	221	16192
27	224	15832
28	227	15487
29	231	15175
30	234	14896
31	241	14857
32	245	14642
33	249	14401
34	252	14196
35	256	13993
36	259	13792
37	263	13628
38	268	13485
39	271	13319
40	274	13130
41	278	12964
42	281	12822
43	284	12662
44	288	12516
45	291	12366
46	294	12220
47	297	12078
48	300	11969
49	304	11857
50	306	11731
51	310	11639
52	313	11526
53	316	11418
54	319	11314
55	322	11196
56	324	11074
57	328	11007
58	333	10982
59	336	10893
60	339	10804
61	342	10713
62	346	10651
63	383	11590
64	386	11516
65	389	11424
66	392	11336
67	397	11294
68	401	11228
69	405	11189
70	408	11106
71	411	11030
72	414	10950
73	417	10872
74	420	10792
75	423	10712
76	425	10637
77	428	10568
78	432	10508
79	435	10448
80	438	10382
81	441	10319
82	444	10269
83	447	10209
84	450	10150
85	453	10088
86	456	10030
87	459	9973
88	461	9903
89	463	9837
90	465	9772
91	468	9708
92	470	9643
93	472	9583
94	475	9525
95	477	9472
96	480	9417
97	482	9366
98	485	9314
99	487	9268
100	490	9222
101	492	9171
102	495	9130
103	498	9086
104	501	9044
105	503	9002
106	506	8968
107	511	8963
108	514	8917
109	516	8872
110	519	8835
111	521	8792
112	524	8751
113	526	8713
114	529	8671
115	531	8631
116	533	8591
117	536	8558
118	538	8510
119	540	8462
120	541	8416
121	544	8378
122	546	8334
123	548	8298
124	550	8254
125	552	8211
126	554	8170
127	555	8128
128	557	8091
129	559	8049
130	561	8008
131	563	7971
132	565	7933
133	567	7896
134	568	7858
135	570	7819
136	572	7782
137	574	7748
138	576	7713
139	578	7685
140	580	7652
141	582	7621
142	584	7595
143	587	7566
144	588	7534
145	590	7502
146	593	7477
147	595	7446
148	597	7417
149	598	7386
