month,trades,n_long,n_short,pnl,avg_pnl,wins,gross_profit,gross_loss,avg_contracts,date,cum_pnl,equity,wr,pf,return_pct
2006-02,2,2,0,61659.799999999996,30829.899999999998,1,107369.28,-45709.48,22.0,2006-02-01,61659.799999999996,5061659.8,50.0,2.3489499333617445,1.233196
2006-03,2,2,0,67834.899,33917.4495,1,91865.412,-24030.513,25.0,2006-03-01,129494.699,5129494.699,50.0,3.8228652047503107,1.35669798
2006-05,2,1,1,1014568.0,507284.0,2,1014568.0,0.0,23.0,2006-05-01,1144062.699,6144062.699,100.0,inf,20.29136
2006-06,1,0,1,258599.529,258599.529,1,258599.529,0.0,18.0,2006-06-01,1402662.2280000001,6402662.228,100.0,inf,5.17199058
2006-07,2,2,0,15854.097999999998,7927.048999999999,1,37727.17,-21873.072,22.0,2006-07-01,1418516.3260000001,6418516.326,50.0,1.7248226495116916,0.31708196
2006-08,1,1,0,19216.329,19216.329,1,19216.329,0.0,22.0,2006-08-01,1437732.655,6437732.655,100.0,inf,0.38432658000000003
2006-09,3,1,2,-50639.333999999995,-16879.778,1,37388.16,-88027.494,32.0,2006-09-01,1387093.321,6387093.321,33.33333333333333,0.4247327545187189,-1.01278668
2006-10,1,1,0,-9414.73,-9414.73,0,0.0,-9414.73,26.0,2006-10-01,1377678.591,6377678.591,0.0,0.0,-0.18829459999999998
2006-11,2,2,0,-16517.811999999998,-8258.905999999999,1,11796.708,-28314.52,34.0,2006-11-01,1361160.779,6361160.779,50.0,0.4166310430125604,-0.33035623999999997
2006-12,2,2,0,494746.896,247373.448,1,523032.896,-28286.0,36.0,2006-12-01,1855907.675,6855907.675,50.0,18.490875203280776,9.89493792
2007-01,4,3,1,-374229.938,-93557.4845,0,0.0,-374229.938,25.5,2007-01-01,1481677.737,6481677.737,0.0,0.0,-7.484598760000001
2007-02,6,5,1,-539373.513,-89895.5855,1,13443.7,-552817.213,27.0,2007-02-01,942304.2239999999,5942304.223999999,16.666666666666664,0.02431852642041376,-10.787470260000001
2007-03,1,0,1,79356.519,79356.519,1,79356.519,0.0,18.0,2007-03-01,1021660.7429999999,6021660.743,100.0,inf,1.58713038
2007-04,4,3,1,-24790.469000000005,-6197.617250000001,1,91021.851,-115812.32,23.5,2007-04-01,996870.2739999999,5996870.274,25.0,0.7859427304452582,-0.4958093800000001
2007-05,2,0,2,350857.74600000004,175428.87300000002,2,350857.74600000004,0.0,38.0,2007-05-01,1347728.02,6347728.02,100.0,inf,7.01715492
2007-07,1,1,0,382797.624,382797.624,1,382797.624,0.0,24.0,2007-07-01,1730525.644,6730525.644,100.0,inf,7.65595248
2007-08,2,1,1,207883.94199999998,103941.97099999999,1,232544.656,-24660.714,29.0,2007-08-01,1938409.5860000001,6938409.586,50.0,9.429761684921207,4.157678839999999
2007-09,3,2,1,-191578.048,-63859.34933333334,0,0.0,-191578.048,33.333333333333336,2007-09-01,1746831.5380000002,6746831.538000001,0.0,0.0,-3.83156096
2007-10,2,2,0,636676.845,318338.4225,1,669926.34,-33249.495,33.0,2007-10-01,2383508.3830000004,7383508.383,50.0,20.148466615808747,12.7335369
2007-11,4,2,2,39891.33700000001,9972.834250000002,1,152756.912,-112865.575,25.5,2007-11-01,2423399.72,7423399.720000001,25.0,1.3534411356164182,0.7978267400000001
2007-12,2,2,0,112155.667,56077.8335,1,113807.428,-1651.761,23.0,2007-12-01,2535555.387,7535555.387,50.0,68.90066298937921,2.2431133400000003
2008-01,4,1,3,103283.42199999999,25820.855499999998,2,183837.394,-80553.97200000001,18.0,2008-01-01,2638838.809,7638838.809,50.0,2.282164236420272,2.06566844
2008-02,2,1,1,-48753.913,-24376.9565,0,0.0,-48753.913,15.0,2008-02-01,2590084.8959999997,7590084.896,0.0,0.0,-0.9750782600000001
2008-03,6,2,4,-250654.584,-41775.764,1,6922.215,-257576.79899999997,18.333333333333332,2008-03-01,2339430.312,7339430.312,16.666666666666664,0.02687437310687288,-5.0130916800000005
2008-04,6,5,1,-128178.09,-21363.015,2,76610.124,-204788.214,24.333333333333332,2008-04-01,2211252.222,7211252.222,33.33333333333333,0.3740943997880659,-2.5635618
2008-05,3,3,0,877511.426,292503.8086666667,2,887294.64,-9783.214,27.333333333333332,2008-05-01,3088763.648,8088763.648,66.66666666666666,90.69561802491492,17.55022852
2008-06,5,2,3,-79259.426,-15851.8852,1,24056.838,-103316.264,34.0,2008-06-01,3009504.222,8009504.222,20.0,0.23284657292679495,-1.5851885200000002
2008-07,4,1,3,327924.348,81981.087,1,532171.644,-204247.29599999997,25.5,2008-07-01,3337428.5700000003,8337428.57,25.0,2.6055260188120193,6.55848696
2008-08,5,0,5,361483.48699999996,72296.69739999999,3,408890.15599999996,-47406.669,21.6,2008-08-01,3698912.057,8698912.057,60.0,8.6251610717471,7.22966974
2008-09,3,1,2,30740.129,10246.709666666668,1,160256.733,-129516.604,17.333333333333332,2008-09-01,3729652.186,8729652.186,33.33333333333333,1.2373450820251588,0.61480258
2008-10,5,0,5,448010.314,89602.0628,3,520148.819,-72138.505,13.2,2008-10-01,4177662.5,9177662.5,60.0,7.2104186106989605,8.960206280000001
2008-11,7,3,4,-190910.453,-27272.921857142857,1,125060.448,-315970.90099999995,15.428571428571429,2008-11-01,3986752.047,8986752.047,14.285714285714285,0.3957973585675221,-3.8182090600000005
2008-12,5,1,4,117610.59400000001,23522.118800000004,2,224975.358,-107364.764,35.2,2008-12-01,4104362.641,9104362.640999999,40.0,2.0954300984632166,2.35221188
2009-01,1,0,1,83907.04,83907.04,1,83907.04,0.0,40.0,2009-01-01,4188269.681,9188269.681,100.0,inf,1.6781407999999998
2009-02,5,1,4,-161271.9,-32254.379999999997,1,14606.536,-175878.436,38.4,2009-02-01,4026997.781,9026997.781,20.0,0.08304904417048603,-3.225438
2009-03,3,2,1,289496.161,96498.72033333335,2,309120.561,-19624.4,34.0,2009-03-01,4316493.942,9316493.942,66.66666666666666,15.751847750759257,5.78992322
2009-04,5,4,1,-97159.625,-19431.925,1,159754.44,-256914.065,32.0,2009-04-01,4219334.317,9219334.317,20.0,0.6218205297557375,-1.9431924999999999
2009-05,1,1,0,840666.66,840666.66,1,840666.66,0.0,40.0,2009-05-01,5060000.977,10060000.977,100.0,inf,16.8133332
2009-06,2,1,1,276715.033,138357.5165,2,276715.033,0.0,23.0,2009-06-01,5336716.01,10336716.01,100.0,inf,5.53430066
2009-07,4,1,3,627679.158,156919.7895,3,701360.74,-73681.582,37.5,2009-07-01,5964395.168,10964395.168,75.0,9.518806748747604,12.55358316
2009-08,7,4,3,-46007.285,-6572.469285714286,2,219009.97100000002,-265017.256,26.857142857142858,2009-08-01,5918387.882999999,10918387.883,28.57142857142857,0.8263989081526073,-0.9201457000000002
2009-09,6,5,1,-107261.34899999999,-17876.891499999998,2,99239.006,-206500.35499999998,31.333333333333332,2009-09-01,5811126.533999999,10811126.533999998,33.33333333333333,0.4805754740712189,-2.1452269799999995
2009-10,8,5,3,15370.700000000012,1921.3375000000015,2,417102.84,-401732.14,28.5,2009-10-01,5826497.233999999,10826497.234,25.0,1.0382610661920155,0.3074140000000002
2009-11,5,3,2,64099.849,12819.9698,2,122883.66,-58783.811,23.6,2009-11-01,5890597.083,10890597.083,40.0,2.09043370801529,1.2819969800000002
2009-12,3,2,1,-25000.34000000001,-8333.44666666667,2,75821.88799999999,-100822.228,34.666666666666664,2009-12-01,5865596.743,10865596.743,66.66666666666666,0.7520354340909823,-0.5000068000000002
2010-01,3,2,1,739723.55,246574.5166666667,1,911533.37,-171809.82,44.666666666666664,2010-01-01,6605320.293,11605320.293,33.33333333333333,5.305478871929439,14.794471000000001
2010-02,7,2,5,-182353.26,-26050.465714285714,1,244124.64,-426477.9000000001,32.285714285714285,2010-02-01,6422967.033,11422967.033,14.285714285714285,0.572420376296169,-3.6470652
2010-03,2,2,0,67390.33999999997,33695.169999999984,1,273218.16,-205827.82,40.0,2010-03-01,6490357.373,11490357.373,50.0,1.327411231387477,1.3478067999999994
2010-04,6,3,3,370924.928,61820.82133333333,5,409169.78800000006,-38244.86,42.333333333333336,2010-04-01,6861282.301,11861282.300999999,83.33333333333334,10.698687039251812,7.418498560000001
2010-05,3,0,3,422175.95999999996,140725.31999999998,2,537941.04,-115765.08,24.0,2010-05-01,7283458.261,12283458.261,66.66666666666666,4.646833397428655,8.443519199999999
2010-06,7,4,3,81243.59899999999,11606.228428571427,3,174058.39,-92814.791,28.285714285714285,2010-06-01,7364701.86,12364701.86,42.857142857142854,1.8753303016110872,1.6248719799999998
2010-07,1,0,1,86482.914,86482.914,1,86482.914,0.0,28.0,2010-07-01,7451184.774,12451184.774,100.0,inf,1.7296582800000002
2010-08,5,3,2,320158.852,64031.7704,3,512761.012,-192602.16,35.6,2010-08-01,7771343.626,12771343.626,60.0,2.662280693009881,6.403177040000001
2010-09,2,1,1,41462.42,20731.21,1,57243.68,-15781.26,40.0,2010-09-01,7812806.046,12812806.046,50.0,3.627319998529902,0.8292483999999999
2010-10,4,3,1,400624.486,100156.1215,2,482721.904,-82097.418,42.0,2010-10-01,8213430.532,13213430.532,50.0,5.879867062323445,8.01248972
2010-11,8,3,5,-368200.402,-46025.05025,1,54119.42,-422319.82200000004,42.0,2010-11-01,7845230.13,12845230.129999999,12.5,0.12814795134100998,-7.36400804
2010-12,4,4,0,372112.346,93028.0865,2,419908.42000000004,-47796.07400000001,61.0,2010-12-01,8217342.476,13217342.476,50.0,8.785416559527462,7.4422469200000005
2011-01,1,1,0,101680.434,101680.434,1,101680.434,0.0,54.0,2011-01-01,8319022.91,13319022.91,100.0,inf,2.03360868
2011-02,6,2,4,-228845.003,-38140.83383333333,2,19568.221999999998,-248413.22500000003,35.333333333333336,2011-02-01,8090177.907000001,13090177.907000002,33.33333333333333,0.07877286726582289,-4.57690006
2011-03,1,1,0,392577.615,392577.615,1,392577.615,0.0,30.0,2011-03-01,8482755.522,13482755.522,100.0,inf,7.851552300000001
2011-04,6,2,4,296022.89,49337.14833333334,2,540799.716,-244776.82599999997,32.0,2011-04-01,8778778.412,13778778.412,33.33333333333333,2.2093583156438186,5.9204578
2011-05,4,0,4,442305.79,110576.4475,4,442305.79000000004,0.0,30.5,2011-05-01,9221084.202,14221084.202,100.0,inf,8.8461158
2011-06,6,3,3,-203135.59,-33855.931666666664,1,39056.992,-242192.58200000002,30.666666666666668,2011-06-01,9017948.612,14017948.612,16.666666666666664,0.16126419594469657,-4.0627118
2011-07,3,3,0,54503.966,18167.988666666668,1,107998.356,-53494.39,32.0,2011-07-01,9072452.578,14072452.578,33.33333333333333,2.0188725584122,1.09007932
2011-08,4,1,3,633047.9990000001,158261.99975000002,3,656771.289,-23723.29,24.5,2011-08-01,9705500.577,14705500.577,75.0,27.68466300416173,12.66095998
2011-09,5,2,3,514779.91199999995,102955.9824,2,566136.6479999999,-51356.736000000004,23.2,2011-09-01,10220280.489,15220280.489,40.0,11.023610378977354,10.295598239999999
2011-10,2,1,1,90869.701,45434.8505,2,90869.701,0.0,19.0,2011-10-01,10311150.19,15311150.19,100.0,inf,1.8173940199999998
2011-11,9,4,5,132090.70500000002,14676.745000000003,2,326738.958,-194648.25300000003,19.333333333333332,2011-11-01,10443240.895,15443240.895,22.22222222222222,1.678612332575109,2.6418141000000004
2011-12,6,2,4,-137758.899,-22959.8165,1,34706.5,-172465.399,36.0,2011-12-01,10305481.996,15305481.996,16.666666666666664,0.2012374667686241,-2.75517798
2012-01,1,1,0,82673.822,82673.822,1,82673.822,0.0,34.0,2012-01-01,10388155.818,15388155.818,100.0,inf,1.65347644
