year,split,trades,n_long,n_short,n_flip,net_pnl,pf,win_rate,avg_trade,avg_1c,total_1c,pf_1c,max_dd,avg_contracts
2006,TR,19,15,4,0,1581704.9330000002,4.042567886894295,52.63157894736842,83247.62805263157,3658.4210526315787,69510.0,5.722146739130435,302488.7420000001,27.894736842105264
2007,TR,30,20,10,0,953850.4540000001,1.8421313532489874,33.33333333333333,31795.015133333327,1007.3333333333334,30220.0,1.7386044238054503,573928.589,26.8
2008,TR,56,20,36,0,1652714.2939999998,2.045084360301741,35.714285714285715,29512.75525,950.7142857142857,53240.0,1.6095717884130982,489916.321,22.535714285714285
2009,TR,50,30,20,0,2588860.4320000005,2.6606391071484623,42.0,51777.20864,1319.2,65960.0,2.3558067831449128,491192.7360000005,31.68
2010,TR,51,26,25,0,1440212.3630000004,1.7950223258066984,43.13725490196079,28239.45809803921,828.3333333333334,42245.0,1.8101447885703328,442544.358,37.84313725490196
2011,TR,53,22,31,0,2088139.5199999998,2.6961978855510105,41.509433962264154,39398.85886792452,1398.4905660377358,74120.0,2.699220541036222,245296.12099999998,28.90566037735849
2012,TR,67,36,31,0,-113520.90700000105,0.9590901607392578,31.343283582089555,-1694.3418955223885,-27.01492537313433,-1810.0,0.9746587329366468,1481203.9899999998,40.53731343283582
2013,TR,45,18,27,0,690978.0420000004,1.5685654465133245,42.22222222222222,15355.0676,423.77777777777777,19070.0,1.8816458622283865,400360.86,48.4
2014,TR,57,19,38,0,1088259.0899999999,1.5934748920558763,36.84210526315789,19092.264736842106,491.2280701754386,28000.0,1.6104207543056464,516957.6159999998,40.10526315789474
2015,TR,70,34,36,0,831283.324,1.467955637005751,32.857142857142854,11875.476057142854,280.0,19600.0,1.4453533287889115,319672.47199999995,40.371428571428574
2016,TR,60,39,21,0,-8650.69200000004,0.9957346111212365,31.666666666666664,-144.1782000000015,-43.0,-2580.0,0.9358528095474888,1060184.032,54.3
2017,TR,53,29,24,0,1241581.2720000006,1.817003969456815,35.84905660377358,23426.061735849053,282.64150943396226,14980.0,1.6407185628742516,553562.5519999999,62.15094339622642
2018,TR,51,22,29,0,654752.7159999998,1.5540805751588922,33.33333333333333,12838.288549019604,279.80392156862746,14270.0,1.6028728348119983,505833.81400000025,47.72549019607843
2019,TE,42,20,22,0,1751776.7939999993,2.9701583323793934,42.857142857142854,41708.97128571429,618.0952380952381,25960.0,2.7647858599592112,476149.2060000001,57.095238095238095
2020,TE,40,16,24,0,1259738.3140000005,1.9927933121032977,40.0,31493.457850000006,1282.0,51280.0,2.7196512407780014,522658.4099999998,41.4
2021,TE,55,31,24,0,707980.1560000002,1.3518894265630594,30.909090909090907,12872.36647272727,176.54545454545453,9710.0,1.2128919096689323,609211.5560000001,46.43636363636364
2022,TE,44,17,27,0,1749356.1059999997,2.3386512147148157,36.36363636363637,39758.09331818182,1636.3636363636363,72000.0,2.3918422578774408,339173.1000000001,29.681818181818183
2023,TE,61,37,24,0,-120842.47999999975,0.9385265588816945,29.508196721311474,-1981.0242622950834,-58.85245901639344,-3590.0,0.8955484434099505,1240207.9980000001,62.131147540983605
2024,TE,47,26,21,0,1151652.1379999998,2.5119632536147365,48.93617021276596,24503.236978723406,501.9148936170213,23590.0,2.613543091655267,346361.67199999996,58.42553191489362
2025,TE,52,23,29,0,692275.4239999999,1.3672704281987051,36.53846153846153,13312.988923076922,53.07692307692308,2760.0,1.0604203152364273,985530.8719999996,43.53846153846154
2026,TE,5,3,2,0,366178.04000000004,6.240997281617076,40.0,73235.60800000001,838.0,4190.0,3.93006993006993,22488.407999999996,59.2
