tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
150,60,95,280,85,185,180,500,0.9608569485531088,1.0101683598468882,26,0,1,605.241935483871,310,187625.0,0.3161290322580645,1.70326848832415,4636.8877551020405,-1264.4075829383887
150,55,90,305,100,185,160,550,0.9892608997688658,1.0017164374606164,22,0,1,587.2560975609756,328,192620.0,0.3445121951219512,1.6679033963834324,4256.769911504425,-1341.3720930232557
165,70,60,295,80,170,180,590,0.9735615019895492,1.0100882371078905,22,0,1,578.3876221498372,307,177565.0,0.31596091205211724,1.7180581110863984,4379.896907216495,-1177.547619047619
195,55,90,300,80,175,180,550,0.9626278656253863,1.005945529967603,24,0,1,577.7453987730062,326,188345.0,0.34049079754601225,1.7473711360660291,3967.162162162162,-1183.1455399061033
150,55,90,265,75,205,200,490,0.9985394461209975,1.005149228623923,22,0,1,574.9333333333333,300,172480.0,0.36,1.633942846641551,4116.25,-1417.0572916666667
150,60,80,260,90,185,140,510,0.9760964498782223,1.0097891194788657,23,0,1,573.2352941176471,306,175410.0,0.31699346405228757,1.6153441380761946,4747.113402061856,-1363.9234449760766
210,60,110,260,100,175,180,460,0.941782988249069,1.0013780180717762,28,0,1,572.3344370860927,302,172845.0,0.32781456953642385,1.5325107444891168,5024.545454545455,-1598.9408866995075
165,60,80,285,65,170,210,480,0.9462973982392472,1.0037774832693371,27,0,1,571.7,300,171510.0,0.3566666666666667,1.5915157785825143,4312.710280373832,-1502.3316062176166
210,55,90,270,95,200,210,520,0.9841533372455723,1.0110395854916927,20,0,1,570.9967320261438,306,174725.0,0.33986928104575165,1.6887342819977138,4119.375,-1262.1393034825871
210,55,95,310,75,185,180,460,0.9509530888410639,1.0076297925899715,21,0,1,561.25,308,172865.0,0.3344155844155844,1.632220901526927,4332.9126213592235,-1340.3186274509803
165,55,95,320,100,195,230,510,0.9515085124409944,1.0003904774062415,29,0,1,557.7814569536424,302,168450.0,0.33774834437086093,1.4925726650681326,5004.21568627451,-1709.9
180,55,70,260,100,195,200,460,0.9835076748190084,1.0071923177125157,24,0,1,557.3624595469256,309,172225.0,0.343042071197411,1.603398440921433,4317.452830188679,-1406.0344827586207
