tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
180,60,90,285,85,180,190,540,0.9688562093206535,1.0102139584345913,25,0,1,622.9833333333333,300,186895.0,0.3333333333333333,1.6831581833135338,4604.7,-1388.7055837563453
210,60,150,60,35,80,70,470,0.9822064490336099,1.014352800767743,22,0,1,561.2780898876405,356,199815.0,0.3651685393258427,1.9456236246184426,3162.4615384615386,-939.1333333333333
210,60,85,75,45,60,120,280,0.9436101548131732,1.0108767968286259,26,0,1,548.9016393442623,305,167415.0,0.40327868852459015,1.6681766478417912,3398.130081300813,-1376.6758241758241
180,60,245,90,95,190,120,540,0.9584123559108094,0.9423406937154235,27,0,1,524.8611111111111,324,170055.0,0.38271604938271603,1.6107639263010451,3616.814516129032,-1399.145728643216
240,45,125,35,85,90,350,560,0.9155322829238438,1.0085605127492152,11,0,1,505.2134146341463,328,165710.0,0.3932926829268293,1.6645279008682052,3217.6356589147285,-1259.419191919192
120,60,30,225,55,65,230,480,0.9713710467756862,1.0156135265820523,9,0,0,504.8447204968944,322,162560.0,0.35093167701863354,1.7177041942604856,3443.008849557522,-1088.9423076923076
180,90,65,70,45,80,220,530,0.9912896612177216,0.9493610898049875,8,0,0,484.72222222222223,306,148325.0,0.38235294117647056,1.4471324138970534,4102.991452991453,-1755.1587301587301
300,60,235,110,95,130,100,430,0.9817621699813953,0.9628431381213924,27,0,1,480.53054662379424,311,149445.0,0.42443729903536975,1.507298278963984,3363.901515151515,-1655.0
240,45,150,65,90,95,260,520,0.9652008402728119,1.0045522929017259,23,0,1,473.32394366197184,355,168030.0,0.38591549295774646,1.645065934698735,3127.8467153284673,-1194.8853211009175
180,60,95,65,55,65,210,630,0.9996036821316618,1.0175109062647245,6,0,0,451.0410557184751,341,153805.0,0.36950146627565983,1.7474970839813375,2853.690476190476,-961.4953271028037
180,45,260,115,90,90,170,540,0.9846455280480827,1.0101061744782323,19,0,1,438.4520123839009,323,141620.0,0.32507739938080493,1.6445769423330754,3441.2380952380954,-1007.8440366972477
240,60,175,80,100,150,170,510,0.9594377348166729,0.9170615995296936,7,0,0,436.0361842105263,304,132555.0,0.3980263157894737,1.448776111318008,3536.5702479338843,-1614.0437158469945
150,90,265,205,40,130,70,480,0.9737724260932134,0.9766305056686498,10,0,0,432.2653721682848,309,133570.0,0.3851132686084142,1.4753972914775861,3483.4873949579833,-1486.5873015873017
300,45,70,205,75,80,180,470,0.9265877816451302,1.0175642944393328,14,0,0,426.2684365781711,339,144505.0,0.3834808259587021,1.5806095184522972,3026.076923076923,-1190.8373205741627
240,120,45,145,15,15,240,370,0.9449254034096944,0.9527100256249295,22,0,1,426.00828729281767,362,154215.0,0.42265193370165743,1.4312741204765367,3345.0653594771243,-1710.909090909091
300,90,225,225,15,190,70,330,0.9486258936652111,0.9965827198073084,10,0,0,419.4660194174757,309,129615.0,0.3883495145631068,1.4353441037181338,3561.2083333333335,-1583.6702127659576
150,90,75,210,50,25,240,660,1.0035796521985432,0.904287004193276,29,0,1,415.8647798742138,318,132245.0,0.3490566037735849,1.451301914479746,3831.3063063063064,-1429.4146341463415
180,60,260,280,60,175,90,480,0.9579437710903872,0.9921962678886809,20,0,0,414.3639053254438,338,140055.0,0.3727810650887574,1.442120714691584,3625.6746031746034,-1494.245283018868
210,60,250,20,55,100,360,540,0.9240764967789065,0.9701101156962016,12,0,1,404.1166666666667,300,121235.0,0.4,1.3850991852357735,3633.75,-1748.9722222222222
120,90,145,265,60,70,180,500,0.9151890055788353,0.9044449190628744,28,0,0,403.0327868852459,305,122925.0,0.39344262295081966,1.3951746419558613,3616.5833333333335,-1681.4324324324325
300,60,50,50,85,190,220,470,1.0032511067376726,0.9162219566681561,5,0,1,401.609375,320,128515.0,0.415625,1.4149058096175886,3295.187969924812,-1656.390374331551
180,45,95,160,25,85,140,280,0.9833946124054598,1.0128816295799479,19,0,1,398.8392857142857,336,134010.0,0.41964285714285715,1.511351928873965,2809.078014184397,-1343.948717948718
120,60,110,105,70,195,180,370,0.9280147772557538,0.966834630041319,17,0,0,398.3495145631068,309,123090.0,0.3851132686084142,1.359875451342699,3908.6134453781515,-1809.7089947089946
210,90,265,225,40,170,160,680,0.9299990060915054,0.9641378888197424,25,0,0,396.8167701863354,322,127775.0,0.35714285714285715,1.4265280235003506,3716.0434782608695,-1447.1980676328503
300,60,265,130,70,105,250,650,0.9203559001712126,0.9828273221739589,9,0,1,394.87577639751555,322,127150.0,0.38509316770186336,1.3882679858311957,3666.3709677419356,-1670.8163265306123
300,60,100,80,70,85,80,420,0.9415853124304894,0.9724328046452273,10,0,1,391.15269461077844,334,130645.0,0.39820359281437123,1.3785823987945174,3576.9548872180453,-1734.1206030150754
120,60,60,40,50,150,180,400,1.0102080918013328,0.952952402135259,23,0,0,388.58730158730157,315,122405.0,0.43492063492063493,1.472496718906817,2784.4160583941607,-1455.3932584269662
300,90,100,45,50,125,150,510,0.9753571368376013,1.0016184106664425,6,0,1,385.83061889250814,307,118450.0,0.36482084690553745,1.3583204767522763,4009.1071428571427,-1695.2307692307693
210,60,285,35,45,85,80,310,0.9753524386575952,1.0020432020172285,11,0,1,384.5046439628483,323,124195.0,0.3560371517027864,1.4230795435189916,3632.5652173913045,-1411.298076923077
150,120,70,125,85,15,80,640,0.9953451202679976,0.9797331545296744,12,0,0,384.35820895522386,335,128760.0,0.34626865671641793,1.3865099734341932,3981.853448275862,-1528.1422018348624
240,60,255,20,90,120,140,670,0.9351822470321034,1.0116464168168893,20,0,1,381.4376996805112,313,119390.0,0.36421725239616615,1.5039466464058082,3125.438596491228,-1190.502512562814
180,60,240,110,65,180,300,550,0.9851961836062676,0.9163935869075149,10,0,1,380.4299363057325,314,119455.0,0.3980891719745223,1.3656748400526526,3569.0,-1737.6063829787233
150,90,265,105,35,45,110,610,0.9665464941693368,1.0111994712260064,15,0,0,380.2572347266881,311,118260.0,0.3311897106109325,1.5559159497955155,3213.4951456310678,-1022.7403846153846
300,90,255,280,65,25,90,650,0.9922305710597953,0.9485073768395174,24,0,0,377.28985507246375,345,130165.0,0.3391304347826087,1.4395609962009286,3643.5042735042734,-1304.5154185022027
210,90,180,85,15,25,310,400,0.9240317342547115,0.9107594514918395,16,0,0,376.9836065573771,305,114980.0,0.4459016393442623,1.344767616191904,3297.6470588235293,-1973.3727810650887
150,90,75,205,65,55,80,690,0.9659421592480021,0.9255487972326182,14,0,1,376.55555555555554,360,135560.0,0.3388888888888889,1.3996403354903377,3891.5163934426228,-1425.2310924369747
150,60,260,170,25,75,80,400,1.0034273285844317,0.974232959390118,23,0,0,374.29260450160774,311,116405.0,0.40514469453376206,1.4568395439649928,2946.1111111111113,-1400.0274725274726
240,90,215,270,40,120,110,600,0.9588056814203026,0.9245807140569494,23,0,0,374.2691029900332,301,112655.0,0.3754152823920266,1.3644436536564062,3732.477876106195,-1644.2287234042553
300,90,50,285,20,100,190,440,0.903229756412108,0.9493415559233975,18,0,1,372.0125786163522,318,118300.0,0.42138364779874216,1.3354505756252482,3514.626865671642,-1916.6304347826087
120,60,275,125,35,95,170,480,0.9952115275999599,0.9498740052646911,11,0,1,371.3157894736842,361,134045.0,0.3601108033240997,1.403106486632785,3589.0384615384614,-1439.5238095238096
120,60,145,180,30,90,200,530,0.9548585072735334,1.0107352203379796,28,0,0,371.07142857142856,378,140265.0,0.3253968253968254,1.4935432793807177,3450.9349593495936,-1118.8976377952756
120,45,135,225,65,25,80,390,1.0099418664771733,0.9765583130227808,27,0,0,370.93220338983053,354,131310.0,0.3615819209039548,1.4105233539673607,3524.765625,-1415.3097345132744
300,90,300,30,15,185,270,520,0.9104853892827648,0.925537307846055,22,0,0,370.3061224489796,343,127015.0,0.3819241982507289,1.3563582801430876,3690.381679389313,-1681.25
120,90,280,80,15,50,220,380,0.9735518295456336,0.9207085121562599,24,0,0,369.3512658227848,316,116715.0,0.4240506329113924,1.3462479789963955,3386.5671641791046,-1852.1153846153845
120,60,225,120,85,195,170,470,0.9843378907548365,1.0059076757664493,21,0,1,369.1166666666667,300,110735.0,0.32666666666666666,1.3622993996302901,4248.775510204082,-1520.6218905472638
150,90,220,50,30,50,140,590,1.0064729270212796,0.9277272938011616,28,0,1,368.49056603773585,318,117180.0,0.39308176100628933,1.4387285184769179,3074.16,-1383.8860103626944
120,60,250,270,70,95,270,650,0.9504983474195767,0.9302450011432404,10,0,0,366.8876080691643,347,127310.0,0.38328530259365995,1.3639248195526334,3587.4812030075186,-1634.696261682243
180,60,95,235,65,185,180,440,0.9407847476220843,0.9499765724413973,7,0,1,364.6041055718475,341,124330.0,0.3812316715542522,1.3364043454144514,3799.346153846154,-1751.5876777251185
180,45,210,190,60,105,200,650,0.9237161837638171,1.0156482574616406,13,0,1,363.7125748502994,334,121480.0,0.3502994011976048,1.5387856477580166,2965.3846153846152,-1043.8425925925926
150,45,155,175,80,85,230,520,0.9140228864088368,1.0149641462480232,28,0,0,357.796875,320,114495.0,0.3375,1.5024244684819097,3170.185185185185,-1090.358851674641
210,90,170,20,60,45,160,570,0.9435812966676174,0.9317388805210879,26,0,0,357.71014492753625,345,123410.0,0.4057971014492754,1.3583073238005372,3341.6785714285716,-1688.3578431372548
120,60,250,30,85,165,150,580,0.9782494841714066,1.003352706121374,24,0,0,356.5856777493606,391,139425.0,0.3375959079283887,1.4147763613916613,3602.8030303030305,-1302.8875968992247
180,45,140,100,95,140,360,530,0.967452371628437,0.9559239234752033,13,0,1,356.5634674922601,323,115170.0,0.3993808049535604,1.345757216409733,3474.922480620155,-1716.9845360824743
180,60,145,255,95,165,210,670,0.9983627141343199,0.9031577434501261,6,0,0,356.43730886850153,327,116555.0,0.363914373088685,1.3782104323841973,3569.159663865546,-1481.610576923077
120,60,105,125,70,180,360,590,0.9579481815047701,0.9914929014206444,21,0,0,356.1764705882353,323,115045.0,0.3715170278637771,1.3500585738410746,3697.4166666666665,-1618.9408866995075
150,60,55,195,20,105,150,310,0.9998166508381194,0.994204130316834,18,0,0,355.462962962963,378,134365.0,0.43915343915343913,1.4098555675873534,2784.3373493975905,-1546.3915094339623
240,45,145,235,75,85,310,640,0.9569108341077958,1.0008861637803244,17,0,0,355.1219512195122,410,145600.0,0.375609756097561,1.4568488100280823,3014.9675324675327,-1249.8235294117646
150,45,145,260,70,20,80,480,1.0141505803756266,0.9479474091522513,25,0,1,354.4459833795014,361,127955.0,0.37119113573407203,1.4794387095565507,2946.5671641791046,-1175.704845814978
120,45,200,160,60,65,170,560,0.9888172420035594,1.0055803954051663,16,0,0,352.6398210290828,447,157630.0,0.3400447427293065,1.5742859224715826,2842.8289473684213,-940.0
210,45,150,240,40,125,130,490,0.9961959753751954,0.9344655720940389,28,0,1,352.4676724137931,464,163545.0,0.375,1.4637666775368998,2966.609195402299,-1216.0172413793102
300,45,270,130,70,135,100,540,0.9311791991993499,1.0164136536026214,26,0,0,351.17816091954023,348,122210.0,0.32471264367816094,1.5180475191284628,3169.1592920353983,-1003.8510638297872
150,60,280,270,35,70,310,520,0.9351168520821016,0.9273061033616501,26,0,0,350.6190476190476,315,110445.0,0.3968253968253968,1.3085529899844948,3747.12,-1893.888888888889
150,90,220,200,15,35,110,430,0.961725532374212,0.9544301935761096,9,0,1,350.5890052356021,382,133925.0,0.4319371727748691,1.3790526866960078,2952.969696969697,-1628.1797235023041
150,90,65,125,60,195,100,580,0.9418092745048121,0.9815128229607586,20,0,0,347.3932926829268,328,113945.0,0.3567073170731707,1.3040033082987608,4177.4358974358975,-1776.3744075829384
120,45,290,290,95,90,60,320,0.9410868630927851,0.9457264326005871,10,0,0,347.28228228228227,333,115645.0,0.3783783783783784,1.3490221524717811,3547.5,-1600.6763285024156
