period,entry_time,exit_time,entry_price,exit_price,contracts,pnl,exit_reason,pnl_1c
train,2007-02-28 17:16:00,2007-03-09 11:14:00,183745.0,179300.0,9,40005.0,expiration,4445.0
train,2007-04-04 16:48:00,2007-04-05 17:59:00,191810.0,193300.0,19,-28310.0,signal_reverse,-1490.0
train,2007-04-27 17:59:00,2007-04-28 17:12:00,188930.0,191250.0,12,-27840.0,signal_reverse,-2320.0
train,2007-05-07 17:33:00,2007-05-16 17:59:00,191420.0,186975.0,25,111125.0,signal_reverse,4445.0
train,2007-05-23 17:15:00,2007-05-31 17:20:00,181425.0,176540.0,18,87930.0,signal_reverse,4885.0
train,2007-08-09 17:14:00,2007-08-22 17:14:00,193550.0,186245.0,16,116880.0,signal_reverse,7305.0
train,2007-09-05 17:59:00,2007-09-06 17:14:00,190060.0,192600.0,19,-48260.0,signal_reverse,-2540.0
train,2007-11-19 17:19:00,2007-11-20 17:59:00,217700.0,220210.0,16,-40160.0,signal_reverse,-2510.0
train,2007-11-21 17:19:00,2007-11-23 17:19:00,215900.0,216050.0,10,-1500.0,signal_reverse,-150.0
train,2008-01-16 17:19:00,2008-01-16 17:59:00,225080.0,224900.0,7,1260.0,signal_reverse,180.0
train,2008-01-17 17:19:00,2008-01-25 17:19:00,221200.0,205995.0,6,91230.0,signal_reverse,15205.0
train,2008-01-28 17:19:00,2008-01-29 17:19:00,199890.0,203050.0,7,-22120.0,signal_reverse,-3160.0
train,2008-02-05 17:59:00,2008-02-12 17:17:00,196600.0,199060.0,8,-19680.0,signal_reverse,-2460.0
train,2008-03-03 17:17:00,2008-03-04 17:17:00,202375.0,201950.0,9,3825.0,signal_reverse,425.0
train,2008-03-05 17:17:00,2008-03-05 17:59:00,203955.0,205290.0,9,-12015.0,signal_reverse,-1335.0
train,2008-03-20 17:17:00,2008-03-24 17:59:00,196100.0,201000.0,8,-39200.0,signal_reverse,-4900.0
train,2008-03-25 17:59:00,2008-03-26 17:17:00,198375.0,199200.0,11,-9075.0,signal_reverse,-825.0
train,2008-04-14 17:17:00,2008-04-14 17:59:00,206395.0,205795.0,12,7200.0,signal_reverse,600.0
train,2008-06-07 18:19:00,2008-06-09 11:14:00,234400.0,236315.0,12,-22980.0,expiration,-1915.0
train,2008-06-20 18:17:00,2008-06-20 21:26:00,238300.0,238325.0,21,-525.0,signal_reverse,-25.0
train,2008-06-23 17:17:00,2008-06-27 19:47:00,234130.0,233415.0,18,12870.0,signal_reverse,715.0
train,2008-07-11 17:17:00,2008-07-14 17:16:00,216440.0,220660.0,12,-50640.0,signal_reverse,-4220.0
train,2008-07-15 17:17:00,2008-07-16 19:48:00,218585.0,218595.0,15,-150.0,signal_reverse,-10.0
train,2008-07-18 17:17:00,2008-07-25 18:21:00,217015.0,194800.0,12,266580.0,signal_reverse,22215.0
train,2008-08-04 18:17:00,2008-08-07 17:17:00,188785.0,185440.0,12,40140.0,signal_reverse,3345.0
train,2008-08-08 17:18:00,2008-08-11 17:19:00,172395.0,174460.0,9,-18585.0,signal_reverse,-2065.0
train,2008-08-13 19:49:00,2008-08-13 20:36:00,177860.0,178305.0,10,-4450.0,signal_reverse,-445.0
train,2008-08-18 19:48:00,2008-08-21 17:17:00,177770.0,172535.0,14,73290.0,signal_reverse,5235.0
train,2008-08-22 19:50:00,2008-08-25 19:02:00,169250.0,159000.0,9,92250.0,signal_reverse,10250.0
train,2008-09-03 17:17:00,2008-09-08 11:14:00,159495.0,153300.0,13,80535.0,expiration,6195.0
train,2008-09-26 17:17:00,2008-09-26 19:02:00,131910.0,134305.0,8,-19160.0,signal_reverse,-2395.0
train,2008-09-29 17:17:00,2008-10-03 21:17:00,119775.0,111400.0,6,50250.0,signal_reverse,8375.0
train,2008-10-15 17:17:00,2008-10-16 17:17:00,81110.0,73685.0,8,59400.0,signal_reverse,7425.0
train,2008-10-16 18:17:00,2008-10-16 20:32:00,71590.0,73545.0,5,-9775.0,signal_reverse,-1955.0
train,2008-10-17 17:17:00,2008-10-21 17:17:00,69070.0,74300.0,5,-26150.0,signal_reverse,-5230.0
train,2008-10-22 17:17:00,2008-10-24 17:17:00,68405.0,51650.0,9,150795.0,signal_reverse,16755.0
train,2008-11-11 17:17:00,2008-11-14 17:17:00,72525.0,64695.0,8,62640.0,signal_reverse,7830.0
train,2008-11-19 19:02:00,2008-11-19 21:17:00,60555.0,60720.0,8,-1320.0,signal_reverse,-165.0
train,2008-11-20 17:17:00,2008-11-21 17:17:00,55500.0,58800.0,9,-29700.0,signal_reverse,-3300.0
train,2008-11-21 19:47:00,2008-11-24 17:17:00,56625.0,63960.0,7,-51345.0,signal_reverse,-7335.0
train,2008-11-28 19:02:00,2008-12-02 17:17:00,66030.0,60470.0,18,100080.0,signal_reverse,5560.0
train,2008-12-03 17:17:00,2008-12-05 17:17:00,58925.0,59200.0,14,-3850.0,signal_reverse,-275.0
train,2008-12-05 19:47:00,2008-12-05 22:02:00,59045.0,60240.0,20,-23900.0,signal_reverse,-1195.0
train,2008-12-18 19:47:00,2008-12-19 17:17:00,65530.0,64815.0,18,12870.0,signal_reverse,715.0
train,2008-12-26 17:17:00,2009-01-13 19:47:00,62675.0,60565.0,24,50640.0,signal_reverse,2110.0
train,2009-01-30 19:47:00,2009-02-03 19:47:00,52200.0,51760.0,17,7480.0,signal_reverse,440.0
train,2009-02-05 19:47:00,2009-02-06 17:17:00,50670.0,51800.0,27,-30510.0,signal_reverse,-1130.0
train,2009-02-17 17:17:00,2009-02-19 17:17:00,53330.0,54370.0,22,-22880.0,signal_reverse,-1040.0
train,2009-02-20 19:47:00,2009-02-24 20:32:00,50220.0,51380.0,17,-19720.0,signal_reverse,-1160.0
train,2009-03-03 18:17:00,2009-03-03 20:32:00,52810.0,53290.0,20,-9600.0,signal_reverse,-480.0
train,2009-04-28 17:17:00,2009-04-29 17:17:00,74250.0,77470.0,20,-64400.0,signal_reverse,-3220.0
train,2009-06-18 17:17:00,2009-06-22 17:17:00,99305.0,95120.0,12,50220.0,signal_reverse,4185.0
train,2009-06-30 21:17:00,2009-07-01 17:17:00,93985.0,95905.0,19,-36480.0,signal_reverse,-1920.0
train,2009-07-02 17:17:00,2009-07-02 22:02:00,93930.0,93360.0,25,14250.0,signal_reverse,570.0
train,2009-07-03 17:17:00,2009-07-10 17:17:00,92910.0,80115.0,26,332670.0,signal_reverse,12795.0
train,2009-08-12 17:17:00,2009-08-12 19:57:00,101160.0,102555.0,14,-19530.0,signal_reverse,-1395.0
train,2009-08-14 19:57:00,2009-08-18 17:17:00,101100.0,97450.0,12,43800.0,signal_reverse,3650.0
train,2009-08-19 17:17:00,2009-08-19 19:47:00,96885.0,99025.0,17,-36380.0,signal_reverse,-2140.0
train,2009-08-27 17:17:00,2009-08-28 17:17:00,106645.0,109165.0,13,-32760.0,signal_reverse,-2520.0
train,2009-09-02 17:17:00,2009-09-03 17:17:00,103335.0,106345.0,16,-48160.0,signal_reverse,-3010.0
train,2009-10-02 18:02:00,2009-10-02 19:47:00,119430.0,119425.0,17,85.0,signal_reverse,5.0
train,2009-10-05 17:17:00,2009-10-06 17:17:00,120185.0,124940.0,18,-85590.0,signal_reverse,-4755.0
train,2009-10-28 19:47:00,2009-10-29 19:47:00,132865.0,139165.0,12,-75600.0,signal_reverse,-6300.0
train,2009-10-30 17:17:00,2009-11-02 19:47:00,134130.0,134465.0,12,-4020.0,signal_reverse,-335.0
train,2009-11-06 17:42:00,2009-11-06 18:27:00,133105.0,132055.0,12,12600.0,signal_reverse,1050.0
train,2009-11-13 17:17:00,2009-11-13 20:42:00,139305.0,141965.0,18,-47880.0,signal_reverse,-2660.0
train,2009-12-07 17:17:00,2009-12-08 11:14:00,137300.0,136280.0,14,14280.0,expiration,1020.0
train,2010-01-26 17:17:00,2010-01-26 19:47:00,144400.0,146760.0,15,-35400.0,signal_reverse,-2360.0
train,2010-02-04 17:17:00,2010-02-09 19:47:00,147205.0,140395.0,18,122580.0,signal_reverse,6810.0
train,2010-02-10 19:57:00,2010-02-11 17:17:00,138610.0,138960.0,13,-4550.0,signal_reverse,-350.0
train,2010-02-12 17:16:00,2010-02-16 17:17:00,136805.0,141405.0,15,-69000.0,signal_reverse,-4600.0
train,2010-02-24 18:02:00,2010-02-24 19:47:00,140625.0,141850.0,18,-22050.0,signal_reverse,-1225.0
train,2010-02-25 17:17:00,2010-02-27 17:17:00,137110.0,140235.0,16,-50000.0,signal_reverse,-3125.0
train,2010-04-21 17:17:00,2010-04-23 17:17:00,158580.0,156755.0,26,47450.0,signal_reverse,1825.0
train,2010-04-27 17:17:00,2010-04-29 19:47:00,156950.0,155885.0,29,30885.0,signal_reverse,1065.0
train,2010-04-30 17:17:00,2010-04-30 18:02:00,154855.0,153610.0,26,32370.0,signal_reverse,1245.0
train,2010-05-04 17:17:00,2010-05-05 17:17:00,150785.0,143970.0,15,102225.0,signal_reverse,6815.0
train,2010-05-17 20:02:00,2010-05-18 16:47:00,138390.0,144150.0,10,-57600.0,signal_reverse,-5760.0
train,2010-05-19 16:47:00,2010-05-25 16:47:00,138225.0,123000.0,11,167475.0,signal_reverse,15225.0
train,2010-06-04 16:47:00,2010-06-08 10:44:00,135245.0,134910.0,10,3350.0,expiration,335.0
train,2010-06-23 19:17:00,2010-06-25 16:47:00,140850.0,138115.0,17,46495.0,signal_reverse,2735.0
train,2010-06-29 20:47:00,2010-06-30 16:47:00,134405.0,133450.0,19,18145.0,signal_reverse,955.0
train,2010-06-30 20:02:00,2010-07-01 17:32:00,133180.0,130065.0,14,43610.0,signal_reverse,3115.0
train,2010-07-15 20:57:00,2010-07-16 20:02:00,140315.0,137745.0,17,43690.0,signal_reverse,2570.0
train,2010-08-11 19:17:00,2010-08-16 17:32:00,144065.0,141805.0,16,36160.0,signal_reverse,2260.0
train,2010-08-20 16:47:00,2010-08-26 19:17:00,141300.0,140395.0,26,23530.0,signal_reverse,905.0
train,2010-09-07 16:47:00,2010-09-08 10:44:00,145085.0,144560.0,37,19425.0,expiration,525.0
train,2010-09-28 18:17:00,2010-09-28 19:17:00,147475.0,147840.0,35,-12775.0,signal_reverse,-365.0
train,2010-10-28 16:47:00,2010-10-29 19:17:00,158655.0,158700.0,29,-1305.0,signal_reverse,-45.0
train,2010-11-12 19:17:00,2010-11-15 16:47:00,160855.0,161000.0,21,-3045.0,signal_reverse,-145.0
train,2010-11-15 19:27:00,2010-11-18 16:47:00,160765.0,159380.0,28,38780.0,signal_reverse,1385.0
train,2010-11-24 16:47:00,2010-11-24 19:17:00,158475.0,160175.0,22,-37400.0,signal_reverse,-1700.0
train,2010-11-26 16:47:00,2010-11-26 19:17:00,158870.0,159755.0,25,-22125.0,signal_reverse,-885.0
train,2010-11-30 16:47:00,2010-11-30 21:32:00,158395.0,160345.0,20,-39000.0,signal_reverse,-1950.0
train,2011-02-07 16:47:00,2011-02-07 19:17:00,190185.0,192510.0,19,-44175.0,signal_reverse,-2325.0
train,2011-02-09 21:32:00,2011-02-11 19:27:00,188020.0,187885.0,16,2160.0,signal_reverse,135.0
train,2011-02-17 20:47:00,2011-02-21 16:47:00,185295.0,187310.0,23,-46345.0,signal_reverse,-2015.0
train,2011-02-22 16:47:00,2011-02-24 16:47:00,184670.0,186890.0,19,-42180.0,signal_reverse,-2220.0
train,2011-04-14 16:47:00,2011-04-15 19:27:00,196250.0,198385.0,15,-32025.0,signal_reverse,-2135.0
train,2011-04-18 16:47:00,2011-04-19 16:47:00,196655.0,192600.0,20,81100.0,signal_reverse,4055.0
train,2011-04-26 18:17:00,2011-04-26 19:17:00,197910.0,199845.0,13,-25155.0,signal_reverse,-1935.0
train,2011-04-27 16:47:00,2011-04-28 19:17:00,198805.0,199820.0,14,-14210.0,signal_reverse,-1015.0
train,2011-05-03 16:47:00,2011-05-06 19:17:00,195415.0,190265.0,16,82400.0,signal_reverse,5150.0
train,2011-05-11 19:17:00,2011-05-12 20:01:00,188600.0,184855.0,14,52430.0,signal_reverse,3745.0
train,2011-05-13 16:47:00,2011-05-18 16:47:00,185770.0,182230.0,16,56640.0,signal_reverse,3540.0
train,2011-05-20 18:17:00,2011-05-25 16:47:00,180525.0,178395.0,15,31950.0,signal_reverse,2130.0
train,2011-06-06 16:47:00,2011-06-06 19:17:00,185345.0,186005.0,14,-9240.0,signal_reverse,-660.0
train,2011-06-20 16:47:00,2011-06-21 16:47:00,182780.0,185135.0,19,-44745.0,signal_reverse,-2355.0
train,2011-06-24 18:17:00,2011-06-28 16:47:00,181955.0,184980.0,14,-42350.0,signal_reverse,-3025.0
train,2011-07-27 20:02:00,2011-07-27 20:47:00,197410.0,197140.0,18,4860.0,signal_reverse,270.0
