tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss
180,45,245,55,70,95,330,650,1.0000069354782914,0.9457871919584999,17,0,1,short,604.5562130177515,338,204340.0,0.4378698224852071,1.7613689289639882,3194.087837837838,-1420.026455026455
300,45,130,290,85,100,60,690,1.0129299086066732,0.97187557763729,19,0,1,short,586.2693498452012,323,189365.0,0.3715170278637771,1.6627642447151056,3959.0416666666665,-1407.487684729064
300,60,220,285,45,170,120,660,1.0045946337176441,0.9617301058976759,24,0,1,short,580.0,337,195460.0,0.3620178041543027,1.702171609218113,3883.811475409836,-1300.771028037383
180,90,30,50,25,185,120,680,0.9122400078402719,1.0148198449836134,16,0,0,short,575.379746835443,316,181820.0,0.31962025316455694,1.6861908895346642,4423.663366336634,-1232.4186046511627
120,90,70,60,75,90,90,390,0.9755815024268795,0.9909322092479969,6,0,0,short,574.4072948328268,329,188980.0,0.3677811550151976,1.5293335013934988,4512.355371900827,-1716.4182692307693
150,60,60,255,70,85,300,530,0.9579813256430952,0.9062783239839796,15,0,1,short,564.4785276073619,326,184020.0,0.39263803680981596,1.5250588487053285,4175.7421875,-1770.0757575757575
150,60,175,90,55,70,90,690,1.0051349568688002,0.9986462209635859,20,0,1,short,551.3827160493827,405,223310.0,0.3358024691358025,1.7232595423555894,3912.2426470588234,-1147.7881040892194
120,60,50,155,65,65,130,270,0.9171267905073439,0.9765163013123717,8,0,0,short,545.9090909090909,319,174145.0,0.3793103448275862,1.4029735045701723,5010.702479338843,-2193.6548223350255
150,60,240,200,40,130,190,570,1.000319910575677,0.9421351986396949,8,0,1,short,543.0379746835443,316,171600.0,0.3670886075949367,1.614514136331895,3886.594827586207,-1396.225
120,45,280,145,45,35,70,470,1.0016193795235824,0.9815147762031184,7,0,0,short,541.256345177665,394,213255.0,0.41116751269035534,1.7167873888711493,3152.901234567901,-1282.3922413793102
150,60,105,185,60,80,280,440,0.9421306430890509,0.9793167642443794,24,0,1,short,539.1692789968652,319,171995.0,0.39184952978056425,1.4700344337560123,4303.32,-1886.1855670103093
120,60,110,105,70,195,180,370,0.9280147772557538,0.966834630041319,17,0,0,short,522.6537216828478,309,161500.0,0.3656957928802589,1.510801151279375,4227.168141592921,-1613.1122448979593
300,90,80,55,60,115,140,510,0.9560046554236886,0.9047948217840396,23,0,1,short,521.046511627907,301,156835.0,0.38870431893687707,1.486166865574482,4097.692307692308,-1762.8142076502731
180,60,35,210,60,70,150,330,0.9264557504649904,0.9454615218316804,25,0,0,short,519.3044619422573,381,197855.0,0.4015748031496063,1.4822379565424035,3974.7712418300653,-1799.4956140350878
150,45,255,120,95,120,330,640,1.0008069630140717,0.9722901279651047,5,0,1,short,513.2225913621262,301,154480.0,0.38205980066445183,1.5748199966511005,3680.217391304348,-1444.8655913978494
120,45,135,235,75,90,180,440,0.9156755409200108,0.9484219911982867,13,0,1,short,506.74863387978144,366,185470.0,0.3879781420765027,1.535467852296677,3745.3521126760565,-1553.2286995515694
300,120,65,250,5,130,300,610,0.981939701116497,0.9941867894057487,9,0,1,short,501.8888888888889,315,158095.0,0.4126984126984127,1.4906278124321137,3694.8076923076924,-1741.7837837837837
150,60,245,70,95,180,60,510,1.0065298470607993,0.9609407096704945,18,0,1,short,501.1946902654867,339,169905.0,0.3834808259587021,1.674667937339925,3244.153846153846,-1210.7451923076924
240,45,80,100,95,145,390,470,0.9508399767686274,1.0029925677123812,9,0,1,short,495.6622516556291,302,149690.0,0.3741721854304636,1.378636110689533,4823.274336283186,-2091.746031746032
150,90,45,85,75,50,120,310,0.9538153954242572,0.9920923284914883,16,0,1,short,490.48172757475083,301,147635.0,0.37209302325581395,1.412965034965035,4510.133928571428,-1891.5343915343915
120,45,140,200,60,130,180,520,1.012310060772432,0.916104240550449,14,0,0,short,488.73670212765956,376,183765.0,0.3617021276595745,1.6443824952661477,3448.125,-1188.25
210,45,290,200,45,50,90,470,1.0056924738708122,0.9521807754821016,12,0,1,short,486.5170278637771,323,157145.0,0.3993808049535604,1.5397667748638948,3475.0387596899227,-1508.4715025906735
210,60,265,290,5,125,350,510,1.0015873662024495,0.9310353614839548,19,0,0,short,483.5764705882353,425,205520.0,0.4376470588235294,1.5759766829213608,3023.3333333333335,-1499.2436974789916
240,45,135,255,80,175,400,610,0.9527688560843631,0.9508820796192753,26,0,1,short,479.62462462462463,333,159715.0,0.3663663663663664,1.4399983470619024,4284.4672131147545,-1728.5238095238096
150,60,190,245,45,135,140,670,1.0065258265051529,0.9275029738930327,20,0,0,short,476.8351063829787,376,179290.0,0.35638297872340424,1.5766527829149446,3658.2462686567164,-1284.7727272727273
180,60,65,90,55,170,120,410,0.9007952913281615,0.9734080689184871,29,0,1,short,471.57608695652175,368,173540.0,0.33695652173913043,1.436375523341338,4606.653225806452,-1629.8565573770493
300,60,175,220,25,90,400,690,1.0100601746362203,0.9037957154410041,14,0,1,short,468.30721003134795,319,149390.0,0.4012539184952978,1.4610233304530305,3698.671875,-1696.544502617801
150,60,100,240,50,75,260,680,0.9274183917276527,0.9822312935696061,26,0,0,short,467.3176470588235,425,198610.0,0.36,1.5063675186436356,3861.6666666666665,-1447.3247232472324
180,60,290,75,25,35,270,520,1.004860361286981,1.0057824795467012,18,0,1,short,462.5451807228916,332,153565.0,0.4006024096385542,1.5658670498931389,3195.0751879699246,-1377.5634517766498
120,60,275,180,25,170,60,550,1.011633730977027,0.9466462849353998,9,0,1,short,460.52785923753663,341,157040.0,0.3343108504398827,1.5250769025010031,4001.0526315789475,-1317.5330396475772
210,60,65,30,65,70,140,390,0.9000664591299202,0.94080317360083,22,0,1,short,459.93638676844785,393,180755.0,0.4402035623409669,1.451949643075923,3356.6473988439307,-1826.2328767123288
150,60,190,140,30,55,100,630,1.0177545707313487,0.9146403081928696,10,0,1,short,450.97791798107255,317,142960.0,0.3627760252365931,1.6237755525012545,3236.0434782608695,-1134.579207920792
210,45,150,235,30,125,340,440,0.9599532382218143,0.93241468408065,14,0,1,short,450.54597701149424,348,156790.0,0.42528735632183906,1.4062285440389672,3667.2635135135133,-1929.825
210,60,175,195,30,90,110,640,1.0083764054843174,0.9382944895155851,12,0,1,short,450.1798561151079,417,187725.0,0.38369304556354916,1.5865306505030308,3173.65625,-1245.3696498054476
300,60,120,210,45,70,160,430,1.0023622538795562,0.9210538687494746,9,0,0,short,448.9776357827476,313,140530.0,0.4057507987220447,1.4749319860085504,3436.417322834646,-1590.8333333333333
150,45,155,185,80,185,310,480,0.9078420459302282,0.9209325774840141,30,0,0,short,447.987012987013,308,137980.0,0.38311688311688313,1.3905518051486718,4163.347457627118,-1859.4473684210527
150,90,75,205,65,55,80,690,0.9659421592480021,0.9255487972326182,14,0,1,short,442.38532110091745,327,144660.0,0.36085626911314983,1.461339754117966,3883.262711864407,-1507.5240384615386
150,120,85,65,10,190,130,570,1.0097305349457464,0.9445564015842813,13,0,0,short,442.3716012084592,331,146425.0,0.3685800604229607,1.474135837448393,3731.55737704918,-1491.9082125603866
240,45,70,270,85,165,310,520,0.9912502289455735,0.9558879945438947,23,0,0,short,441.6235632183908,348,153685.0,0.3218390804597701,1.427776154092383,4579.910714285715,-1522.3093220338983
120,45,275,115,55,110,270,500,1.002741414266743,1.0016003512683407,23,0,1,short,441.4542483660131,306,135085.0,0.35947712418300654,1.482739520423114,3771.9545454545455,-1435.025641025641
180,90,70,110,30,105,130,530,1.0010525065101656,0.9170790014229241,22,0,1,short,441.33431085043986,341,150495.0,0.36656891495601174,1.4401532544638287,3939.28,-1582.9398148148148
180,45,190,165,80,180,310,550,0.9233605327517069,0.965154396757485,6,0,0,short,438.37278106508876,338,148170.0,0.3757396449704142,1.4234093929045992,3922.165354330709,-1658.5071090047393
240,60,205,265,50,120,170,570,1.0017473624747115,0.9593204465703795,29,0,1,short,438.015625,320,140165.0,0.33125,1.4495998460329425,4263.396226415094,-1477.5118483412323
150,45,75,125,80,90,250,550,0.9991254788493197,0.9022066164358488,12,0,0,short,437.7023498694517,383,167640.0,0.3289817232375979,1.4046440898887254,4618.492063492064,-1618.3203125
210,45,115,100,90,135,330,650,0.9182895898207457,0.9207400714409334,11,0,1,short,437.3592493297587,373,163135.0,0.38873994638069703,1.4189232566798917,3810.689655172414,-1707.9605263157894
180,90,150,210,30,45,210,520,0.9645166654300648,0.9950478305779525,16,0,0,short,435.75657894736844,304,132470.0,0.4243421052631579,1.42274061781976,3456.046511627907,-1800.9195402298851
