tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,time_bars,time_target,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c,be_target,be_offset,trail_pts,trail_atr,sl_atr_mult,sl_pts
150,90,190,125,80,135,170,670,1.0063788152123019,0.9529080697174487,29,0,1,time,45.0,1200.0,short,884.9565217391304,230,203540.0,0.3652173913043478,1.9800654853620956,4895.476190476191,-1422.4657534246576,23310.0,,,,,,
210,90,175,200,30,70,420,620,1.0003980320393095,0.9332543624546827,24,0,1,breakeven,,,short,856.578947368421,209,179025.0,0.3827751196172249,1.7279806441119063,5311.8125,-1906.3565891472867,27105.0,3000.0,200.0,,,,
180,60,70,245,55,80,420,550,1.008342266267342,0.930085037160791,13,0,0,none,,,short,847.4761904761905,210,177970.0,0.3523809523809524,1.748228963023691,5619.256756756757,-1748.9338235294117,22480.0,,,,,,
150,120,160,270,60,160,210,510,1.0027734675481235,0.9734520055056801,25,0,1,time,25.0,1800.0,short,807.0657276995305,213,171905.0,0.39436619718309857,1.7273785093193983,4860.0,-1832.0542635658915,29500.0,,,,,,
300,120,125,95,50,165,200,660,1.0029468885532171,1.0080334292056246,17,0,0,breakeven,,,short,805.5841121495328,214,172395.0,0.34579439252336447,1.6630576923076923,5843.175675675676,-1857.142857142857,39060.0,4000.0,200.0,,,,
300,120,190,80,55,185,70,350,1.0132992443643682,1.0036500315572958,27,0,0,trail_pts,,,short,800.373831775701,214,171280.0,0.40654205607476634,1.6537778880470255,4980.057471264367,-2062.8740157480315,33235.0,,,7500.0,,,
120,90,115,205,75,165,140,360,1.0021591680160622,0.9701063313715512,25,0,0,breakeven,,,short,799.8522167487685,203,162370.0,0.32019704433497537,1.580234781210356,6803.153846153846,-2042.5912408759125,49365.0,2000.0,0.0,,,,
300,60,250,235,30,75,190,310,1.0156375407754783,0.9746330766515022,23,0,0,trail_atr,,,short,793.7782805429864,221,175425.0,0.45248868778280543,1.6401437746314407,4494.65,-2264.793388429752,27540.0,,,,4.56,,
120,45,230,235,80,105,360,540,1.006840973559341,0.9723255394251326,7,0,0,none,,,short,792.3260073260074,273,216305.0,0.358974358974359,1.8226714334613776,4890.15306122449,-1502.4571428571428,26400.0,,,,,,
180,120,80,295,80,180,70,580,1.0020963063244042,1.008646434147023,10,0,1,atr,,,short,751.830985915493,213,160140.0,0.2676056338028169,1.6554250399050465,7095.964912280701,-1576.3225806451612,50270.0,,,,,1.32,
150,120,50,125,50,50,330,410,0.9763393203460584,0.90517845069626,19,0,1,atr,,,short,747.7,200,149540.0,0.38,1.4732952477409758,6124.934210526316,-2548.0241935483873,38200.0,,,,,3.45,
180,45,270,260,70,85,190,300,1.0092332177799008,0.9050745990138869,9,0,1,atr,,,short,730.2173913043479,207,151155.0,0.3864734299516908,1.6259265394012175,4908.0625,-1901.4960629921259,28140.0,,,,,2.91,
180,90,230,220,80,165,160,240,1.0204099559384006,0.9590356800928543,15,0,0,trail_atr,,,short,726.7765567765567,273,198410.0,0.4725274725274725,1.6950414236421278,3750.968992248062,-1982.3958333333333,23075.0,,,,1.71,,
150,120,55,110,85,95,300,560,1.0092614285390926,1.0093413840695997,9,0,0,time,45.0,1800.0,short,709.4748858447489,219,155375.0,0.3515981735159817,1.5438206573098596,5728.376623376624,-2012.0422535211267,36845.0,,,,,,
300,120,210,185,50,125,220,680,1.0272415421529508,0.9107617237653601,10,0,0,trail_pts,,,short,700.7906976744187,215,150670.0,0.4046511627906977,1.5151199165797706,5093.850574712644,-2285.1171875,38410.0,,,4000.0,,,
300,90,75,155,40,45,320,480,1.0047898412341651,0.9565046780328655,17,0,1,none,,,short,699.1395348837209,215,150315.0,0.3813953488372093,1.5490256953448873,5171.951219512195,-2058.533834586466,29920.0,,,,,,
