year,split,trades,net_pnl,pf,win_rate,avg_trade,avg_1c,total_1c,pf_1c,max_dd,avg_contracts
2007,TR,9,204297.67799999996,2.3700441701761727,44.44444444444444,22699.741999999995,1341.111111111111,12070.0,2.339622641509434,91779.66000000003,16.0
2008,TR,36,779407.6154999998,3.1019521783151727,47.22222222222222,21650.211541666667,1942.361111111111,69925.0,2.618259662115251,158658.081,11.13888888888889
2009,TR,22,-65191.95949999994,0.8788758667926783,31.818181818181817,-2963.2708863636344,-379.54545454545456,-8350.0,0.739591454857321,320974.5945,17.272727272727273
2010,TR,27,405676.73900000023,2.122314060552269,55.55555555555556,15025.06440740741,935.5555555555555,25260.0,2.1221679253665036,147330.363,20.296296296296298
2011,TR,33,671912.8859999999,2.5595027613264816,48.484848484848484,20360.996545454545,1595.6060606060605,52655.0,2.9599851107388795,122704.908,15.484848484848484
2012,TR,33,356291.1689999999,1.503201123094219,36.36363636363637,10796.702090909092,229.6969696969697,7580.0,1.2183494166786693,179418.37550000002,21.21212121212121
2013,TR,27,226429.95799999993,1.5505570348089195,44.44444444444444,8386.294740740741,352.5925925925926,9520.0,1.8584310189359783,221435.53300000005,32.370370370370374
2014,TR,37,769449.793,2.1168972448873005,40.54054054054054,20795.94035135135,628.6486486486486,23260.0,1.8666169895678093,242700.30100000033,26.81081081081081
2015,TR,38,188683.169,1.3091041142875213,47.368421052631575,4965.346552631578,137.89473684210526,5240.0,1.2333036509349955,144800.86999999997,29.605263157894736
2016,TR,22,-435367.502,0.3257402507984678,27.27272727272727,-19789.431909090912,-603.1818181818181,-13270.0,0.28694250403009136,578874.8550000001,37.04545454545455
2017,TR,25,268059.75199999986,1.571740856389209,48.0,10722.390080000001,234.0,5850.0,1.5381784728610857,209365.56199999998,43.28
2018,TR,29,452277.06500000006,2.549754973643938,41.37931034482759,15595.760862068964,503.44827586206895,14600.0,2.439842209072978,87124.99899999995,30.655172413793103
2019,TE,22,-14047.553000000014,0.9542691085365477,36.36363636363637,-638.5251363636362,106.36363636363636,2340.0,1.3232044198895028,184493.609,38.81818181818182
2020,TE,25,276307.628,1.5150544584311991,36.0,11052.305119999999,972.4,24310.0,2.1461574728901462,240461.862,26.64
2021,TE,24,-79900.86600000004,0.8718029597099488,33.33333333333333,-3329.2027500000017,-142.91666666666666,-3430.0,0.8746803069053708,359299.40099999995,24.25
2022,TE,7,510249.867,5.809069223612447,42.857142857142854,72892.83814285714,7954.285714285715,55680.0,5.594059405940594,87461.18099999998,11.142857142857142
