tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,sl_atr_mult,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c,time_bars,time_target,trail_pts,be_target,be_offset,sl_pts,trail_atr
180,60,140,55,65,75,90,230,0.9156691938608033,1.014281300460961,28,0,0,atr,4.65,long,777.3923444976076,209,162475.0,0.4449760765550239,1.9274216564872424,3630.8064516129034,-1510.2586206896551,26910.0,,,,,,,
240,120,275,225,30,140,300,470,0.9234098702635463,0.9870815330304257,14,0,0,atr,1.15,long,738.4299516908212,207,152855.0,0.357487922705314,1.748152317556654,4826.554054054054,-1547.8030303030303,20590.0,,,,,,,
120,60,225,65,75,65,390,520,0.9653904393979984,1.0092182509328393,21,0,0,atr,4.24,long,726.6,200,145320.0,0.44,1.8981458590852904,3490.0,-1444.642857142857,11720.0,,,,,,,
150,120,260,110,50,50,330,580,0.953004261161124,0.9545867453499598,8,0,1,atr,1.72,long,711.829268292683,205,145925.0,0.3902439024390244,1.6354511409162167,4694.5625,-1837.12,29735.0,,,,,,,
180,120,275,125,35,40,300,580,0.9766376755919938,0.9561327343882291,10,0,1,time,,long,669.3137254901961,204,136540.0,0.4068627450980392,1.6418313864667309,4208.1325301204815,-1772.7916666666667,39215.0,47.0,400.0,,,,,
210,60,100,205,90,25,150,250,1.0083052084206596,0.914371788168451,21,0,1,trail_pts,,long,665.566037735849,212,141100.0,0.38207547169811323,1.5136512559155442,5133.333333333333,-2096.946564885496,28270.0,,,6500.0,,,,
150,45,140,90,95,105,160,240,0.9662157182717727,1.0118333885957977,11,0,1,breakeven,,long,649.7196261682243,214,139040.0,0.4205607476635514,1.641742822856088,3952.222222222222,-1747.258064516129,17565.0,,,,3000.0,0.0,,
150,60,155,180,55,75,70,450,0.9847522832048109,1.0199692692130404,22,0,1,breakeven,,long,625.6875,240,150165.0,0.35833333333333334,2.024387748141074,3450.639534883721,-958.1045751633987,17265.0,,,,1500.0,0.0,,
210,120,285,240,85,55,220,680,0.9387228480313651,0.9815583465170884,11,0,1,breakeven,,long,621.0975609756098,205,127325.0,0.4292682926829268,1.604912464071074,3838.75,-1799.017094017094,25155.0,,,,2000.0,100.0,,
180,90,290,75,55,145,170,280,0.9654045676701316,0.9128923755110737,17,0,1,none,,long,603.7198067632851,207,124970.0,0.41545893719806765,1.4816356418853818,4470.232558139535,-2144.380165289256,29065.0,,,,,,,
150,120,255,200,50,45,160,530,0.9203847989447512,0.9576306460622505,6,0,0,breakeven,,long,603.6854460093897,213,128585.0,0.38497652582159625,1.5028547964491026,4686.524390243902,-1951.9847328244275,50575.0,,,,4500.0,0.0,,
120,60,210,235,70,70,100,230,0.974952663264463,1.0061086496192033,10,0,1,time,,long,602.0378151260504,238,143285.0,0.4369747899159664,1.6711084049553875,3430.673076923077,-1593.3208955223881,18450.0,38.0,1000.0,,,,,
120,45,250,205,50,90,250,580,1.0226044861914156,0.9470090545473591,29,0,0,fixed,,long,601.1666666666666,210,126245.0,0.38095238095238093,1.6991665051366545,3835.125,-1388.9615384615386,18860.0,,,,,,5000.0,
180,90,30,40,55,140,180,280,1.01031094119451,0.9098682526063594,14,0,1,none,,long,596.027397260274,292,174040.0,0.4178082191780822,1.6552340794006362,3603.7295081967213,-1562.4411764705883,33205.0,,,,,,,
150,90,260,290,75,195,360,660,0.9410136357915495,0.9020499656747047,5,0,1,none,,long,595.8450704225352,213,126915.0,0.4131455399061033,1.6011082956402303,3841.4772727272725,-1689.08,27980.0,,,,,,,
180,120,45,85,70,185,130,450,1.0118985874954316,0.9874864462887587,27,0,1,fixed,,long,595.7673267326733,202,120345.0,0.33663366336633666,1.4618794496363532,5601.470588235294,-1944.4402985074628,47240.0,,,,,,5000.0,
210,120,275,65,45,45,280,650,0.9585799583061311,0.912079151629065,18,0,1,breakeven,,long,595.0,212,126140.0,0.41509433962264153,1.5390713476783693,4092.443181818182,-1887.0564516129032,40370.0,,,,4500.0,0.0,,
120,45,290,235,95,160,140,210,0.9752180179604689,0.9302220079469679,29,0,0,atr,2.03,long,594.6111111111111,270,160545.0,0.4,1.579867444422372,4050.0925925925926,-1709.0432098765432,22235.0,,,,,,,
240,90,275,90,55,40,270,480,0.9209691564750749,1.0057878388983574,6,0,1,breakeven,,long,591.4502164502164,231,136625.0,0.4025974025974026,1.8003104589520547,3304.7311827956987,-1237.0652173913043,15650.0,,,,3500.0,200.0,,
150,60,255,275,95,85,140,210,0.9421712882808562,0.905089645057266,28,0,0,trail_pts,,long,589.5348837209302,215,126750.0,0.4604651162790698,1.4458083463763782,4152.171717171717,-2450.9913793103447,47400.0,,,7000.0,,,,
120,60,250,100,60,100,160,430,0.9216645612549293,1.0101547930319619,21,0,1,fixed,,long,579.0,285,165015.0,0.37543859649122807,1.7452073972045974,3611.6822429906542,-1244.0168539325844,18280.0,,,,,,7000.0,
