,importance
TATNP,0.07139637
YNDX,0.042288005
GMKN,0.036086652
eig_08,0.03564468
LKOH,0.0339995
RTKMP,0.031375483
ae_00,0.028019244
macd,0.027098391
MVID,0.026622348
RTSF,0.026316602
log_mom10,0.025331764
SBER_volume,0.022783933
mom10,0.022339163
macd_hist,0.021667961
eig_02,0.021285448
eig_09,0.02118716
eig_10,0.021060158
macd_signal,0.020518545
SBER_fft3,0.020285161
rsi14,0.019757953
SBER_vwap,0.019717306
eig_07,0.019699488
ae_05,0.019606305
LSR,0.018436683
eig_06,0.018279875
sma21,0.018157091
SBRF,0.01763087
bb_mid,0.016949678
SBER_range,0.016692752
eig_11,0.01606454
SBER_fft9,0.01600447
SBER_fft6,0.015823636
eig_04,0.015718073
ema21,0.01486259
sma7,0.01453818
ae_02,0.0143207405
eig_12,0.014002262
ae_08,0.013370831
AKRN,0.013074573
eig_03,0.011841154
bb_lower,0.011257972
SBER_gap,0.011073836
ae_16,0.010746183
bb_upper,0.010296105
eig_01,0.008606579
ae_01,0.008523202
ae_10,0.0077753654
ae_17,0.0065771677
ae_09,0.006405426
eig_05,0.0062908707
ae_06,0.00618038
ae_21,0.0034892745
ae_31,0.002922075
ae_03,0.0
ae_04,0.0
ae_29,0.0
ae_30,0.0
ae_26,0.0
ae_28,0.0
ae_27,0.0
ae_25,0.0
ae_24,0.0
ae_23,0.0
ae_22,0.0
ae_20,0.0
ae_19,0.0
ae_18,0.0
ae_15,0.0
ae_14,0.0
ae_13,0.0
ae_12,0.0
ae_11,0.0
ae_07,0.0
