trial,MAE,generator,seq_len,batch_size,hidden_size,lr_g,lr_d,critic_steps,d_model,nhead,num_layers_tst,dropout_tst,l1_weight,cls_weight,q_weight,grad_clip
19,0.00401140796020627,tst,16,128,32,0.000673447066041574,0.00013427747056819327,5,128,4,3,0.10112254591671503,0.22788902059281207,0.32036324161327023,1.3575434001340014,3.603972391009846
18,0.004026541952043772,tst,24,128,32,0.0007014475796874043,0.00010450796693114405,7,128,4,3,0.20937118651217573,0.30865824141719533,0.3167328076238137,1.2357348965188695,3.5772311435206134
13,0.004115804098546505,tst,24,128,32,0.0007464495820201859,0.00013886903404683256,3,128,4,4,0.29916462307494185,0.10654420706617312,0.10442970957215567,0.39205784969820145,0.7710740116037306
2,0.004122132435441017,tst,24,128,32,0.001026754372964649,7.487310799810441e-05,8,128,2,4,0.2573541925770801,0.4189799558128565,0.4429082893149007,1.2090685257249687,2.68774763975172
14,0.0041375355795025826,tst,24,128,32,0.0008943449392215007,0.00010930019051197217,8,128,4,4,0.24088508045801252,0.278599510842521,0.08227727125666322,0.7731730910455277,1.5091044949957568
12,0.004255831241607666,tst,24,128,32,0.0006841286382613523,0.0001581265177640499,3,128,4,4,0.2974915042196087,0.1274386367718195,0.09196356844007297,0.45528803900779735,0.797674458342422
0,0.0043718246743083,tst,12,128,32,0.002444382537119639,2.1553573511944897e-05,5,32,2,2,0.08193981977827089,0.8602766338226315,0.4267449166342754,1.5473678526225993,2.7062713538272916
27,0.0043949284590780735,tst,16,128,32,0.004304293343802701,2.9010851838387936e-05,4,128,4,3,0.18033645615781108,0.720695291767896,0.22283449703441724,1.0012291901152521,3.178186709556658
15,0.004839683882892132,tst,24,128,32,0.0009588525150161938,0.0003225426114340143,3,128,4,4,0.29706005844435623,0.965618128207528,0.3347935237435481,1.113871124116231,2.0075121099253384
17,0.006657589226961136,tst,24,256,64,0.0005035931680133754,6.783243110060618e-05,6,128,4,4,0.26496324927676096,0.10531277820222519,0.054350577518237214,0.585084201772145,1.4760672604745526
16,0.007396114524453878,tst,16,128,32,0.0009793419635017665,0.00022234456131219624,9,128,4,3,0.221190409717973,0.2987759993929029,0.17057257956673766,1.5330884133764786,3.6476618659558597
10,0.010869414545595646,lstm,6,512,32,0.0016051322860653546,0.00016941809359490362,5,64,4,2,0.1386596750943412,0.4004917338059525,0.2613433453876397,0.40790490316055295,4.294741703130252
5,0.011060858145356178,tst,12,512,128,0.0014087448734351068,0.00038052980070840496,10,64,2,1,0.000538053885792622,0.4902561180817052,0.16850999452157994,1.9073758503244367,4.119098426345586
26,0.012586168013513088,tst,16,512,64,0.0012246819497812144,0.00046597272530348225,7,64,4,1,0.10777043894367896,0.21343489374787736,0.38608625874089303,1.3696119024942484,3.8254298374687994
21,0.013073057867586613,lstm,16,256,128,0.000661487914519822,0.00025050508224319054,5,32,4,3,0.10293786439984703,0.3087069204776064,0.31312913167501655,1.7117415792799198,3.5320809487482285
11,0.02440076693892479,lstm,10,128,128,0.002809961193439743,9.584303008091359e-05,4,128,2,2,0.01241511480742906,0.4328874280424323,0.2413207815332884,0.8405302302590185,2.812502608243818
3,0.027480624616146088,tst,10,256,128,0.0014767467446442008,5.428271152867028e-05,8,64,2,2,0.04375261583953799,0.6824356435607024,0.38719583177446604,1.8953965125797807,2.00664511600705
7,0.03131207078695297,tst,10,128,32,0.0005262624244475161,1.2592728013498111e-05,10,128,2,3,0.18517162041679983,0.5920565653322266,0.47352747597102207,0.7878895428233696,4.722128451580524
9,0.03712102025747299,lstm,6,256,64,0.0018022710622485679,3.607955304525013e-05,7,32,2,4,0.26478793381631927,0.216003250404103,0.47252008919507743,1.429563132954952,0.9462839513114565
8,0.07520666718482971,tst,10,512,32,0.003489969597395317,4.488952029147555e-05,6,32,2,2,0.14300075610827506,0.42606142168143324,0.18054710850485484,1.2085171187597084,3.064375936810979
6,0.09390532970428467,lstm,6,128,64,0.001798973434508073,1.0648449693281697e-05,8,128,4,3,0.1901979931009146,0.6082441600111947,0.34298325854072137,1.0961469516727946,4.538872650181688
28,0.23383572697639465,tst,24,128,32,0.0006656809811992731,0.00015825109849662127,4,128,4,3,0.21615180742157167,0.17207934510579473,0.2907065287807106,1.3265915318322707,0.5286849818048511
