phase,stage,experiment,ticker,timeframe,generator,seq_len,lr_g,lr_d,MAE,MAPE,DirAcc,PinballLoss,time_sec,notes
1,1,1a_baseline_lstm,SBER,M5,lstm,17,1e-3,1e-4,0.0077,5.2873,0.484,0.0015,795,Baseline LSTM. Early stop epoch 9.
1,1,1b_baseline_tst,SBER,M5,tst,17,1e-3,1e-4,0.0040,1.0335,0.490,0.0016,933,Baseline TST. Early stop epoch 11. BEST_GEN=tst.
1,2,2a_seq12,SBER,M5,tst,12,1e-3,1e-4,0.0041,1.2887,0.489,0.0015,797,Best DirAcc. BEST_SEQ_LEN=12.
1,2,2b_seq24,SBER,M5,tst,24,1e-3,1e-4,0.0040,1.0641,0.488,0.0015,1293,
1,2,2c_seq48,SBER,M5,tst,48,1e-3,1e-4,0.0040,1.1019,0.481,0.0014,740,
1,2,2d_seq78,SBER,M5,tst,78,1e-3,1e-4,0.0040,1.0737,0.484,0.0014,855,
1,2,2e_seq156,SBER,M5,tst,156,1e-3,1e-4,0.0046,2.1137,0.481,0.0180,718,Worst MAE -- overfitting on long windows.
1,3,3a_lr_5e4_5e5,SBER,M5,tst,12,5e-4,5e-5,0.0041,1.1940,0.485,0.0014,1274,Conservative.
1,3,3b_lr_1e3_1e4,SBER,M5,tst,12,1e-3,1e-4,0.0041,1.0012,0.483,0.0014,747,Default baseline.
1,3,3c_lr_2e3_2e4,SBER,M5,tst,12,2e-3,2e-4,0.0040,1.0297,0.483,0.0014,865,Aggressive -- no NaN.
1,3,3d_lr_5e4_1e4,SBER,M5,tst,12,5e-4,1e-4,0.0044,1.6216,0.488,0.0014,966,G slower than D.
1,3,3e_lr_1e3_5e5,SBER,M5,tst,12,1e-3,5e-5,0.0040,1.0012,0.488,0.0016,628,G faster than D. BEST_LR. Fastest.
2,4,4a_lw_baseline,SBER,M5,tst,12,1e-3,5e-5,0.0041,,,0.0017,376,adv=1.0 l1=0.4 cls=0.2 q=0.3 (baseline weights).
2,4,4b_lw_more_l1,SBER,M5,tst,12,1e-3,5e-5,0.0042,,,0.0017,520,adv=1.0 l1=1.0 cls=0.2 q=0.3. More L1.
2,4,4c_lw_more_cls,SBER,M5,tst,12,1e-3,5e-5,0.0040,,,0.0014,1139,adv=0.5 l1=0.4 cls=0.5 q=0.3. More cls.
2,4,4d_lw_more_q,SBER,M5,tst,12,1e-3,5e-5,0.0040,,,0.0014,855,adv=1.0 l1=0.4 cls=0.2 q=1.0. BEST: best MAE+Pinball.
2,4,4e_lw_min_adv,SBER,M5,tst,12,1e-3,5e-5,0.0041,,,0.0014,635,adv=0.3 l1=0.8 cls=0.1 q=0.5. Min adv.
2,4,4f_lw_max_adv,SBER,M5,tst,12,1e-3,5e-5,0.0049,,,0.0028,470,adv=2.0 l1=0.2 cls=0.1 q=0.1. Worst MAE.
2,5,5a_abl_full,SBER,M5,tst,12,1e-3,5e-5,0.0041,1.3255,0.485,0.0016,554,Full pipeline (all features on).
2,5,5b_abl_no_fourier,SBER,M5,tst,12,1e-3,5e-5,0.0041,,0.485,0.0016,550,No Fourier: neutral.
2,5,5c_abl_no_ae,SBER,M5,tst,12,1e-3,5e-5,0.0040,,0.485,0.0015,924,No Autoencoder: IMPROVES MAE (42 feats vs 74). AE is noise.
2,5,5d_abl_no_pca,SBER,M5,tst,12,1e-3,5e-5,0.0041,,0.485,0.0016,549,No PCA: neutral.
2,5,5e_abl_no_corr,SBER,M5,tst,12,1e-3,5e-5,0.0678,,0.485,0.0019,662,No correlates: MAE x17. Correlates are CRITICAL.
2,5,5f_abl_no_indicators,SBER,M5,tst,12,1e-3,5e-5,0.0041,,0.485,0.0016,618,No technical indicators: neutral.
