num_trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor,max_drawdown_pct,sharpe,long_trades,short_trades,long_pnl_pct,short_pnl_pct,avg_bars_held,max_consecutive_loss,split,test_start,test_end,bars,tft_dirac,signal_coverage
91,-4.8367,-13.8628,-0.053151,0.5385,0.852,9.9698,-0.565,91,0,-4.8367,0,4.0,5,1,2021-01-12 20:00:00,2021-03-26 14:00:00,720,0.5376955903271693,0.3736
111,-0.023,-1.1088,-0.000207,0.5135,0.999,5.3471,-0.003,111,0,-0.023,0,4.0,5,2,2021-03-26 15:00:00,2021-06-08 20:00:00,720,0.5533428165007113,0.4375
111,-3.0263,-9.1386,-0.027264,0.4685,0.846,10.9486,-0.629,111,0,-3.0263,0,4.0,7,3,2021-06-08 21:00:00,2021-08-19 12:00:00,720,0.5405405405405406,0.4431
78,3.5048,13.1483,0.044933,0.4487,1.182,5.4897,0.526,78,0,3.5048,0,4.0,4,4,2021-08-19 13:00:00,2021-10-29 18:00:00,720,0.5305832147937412,0.3111
44,10.7917,31.8741,0.245265,0.5909,1.906,3.5078,1.577,44,0,10.7917,0,4.0,6,5,2021-10-29 19:00:00,2022-01-06 11:00:00,720,0.5832147937411095,0.1681
9,0.9183,3.4945,0.102036,0.5556,1.111,4.5204,0.117,9,0,0.9183,0,4.0,2,6,2022-01-06 12:00:00,2022-04-18 14:00:00,720,0.5476529160739687,0.0264
54,3.8373,3.5376,0.07106,0.463,1.104,5.9699,0.266,54,0,3.8373,0,4.0,4,7,2022-04-18 15:00:00,2022-08-15 14:00:00,720,0.4992887624466572,0.1653
98,-6.6426,-9.2921,-0.067782,0.449,0.855,18.5754,-0.539,98,0,-6.6426,0,4.0,4,8,2022-08-15 15:00:00,2022-11-03 22:00:00,720,0.5163584637268848,0.3903
4,1.0389,1.4015,0.259722,0.75,4.59,0.2894,1.185,4,0,1.0389,0,4.0,1,9,2022-11-03 23:00:00,2023-01-18 14:00:00,720,0.4950213371266003,0.0139
116,19.4501,35.6603,0.167674,0.5,1.681,6.8679,1.807,116,0,19.4501,0,4.0,6,10,2023-01-18 15:00:00,2023-04-03 20:00:00,720,0.5689900426742532,0.4944
102,14.6136,33.0903,0.143271,0.5098,1.716,3.2528,1.818,102,0,14.6136,0,4.0,5,11,2023-04-03 21:00:00,2023-06-19 12:00:00,720,0.5206258890469416,0.4083
114,1.7383,4.0006,0.015248,0.4474,1.075,6.5513,0.248,114,0,1.7383,0,4.0,5,12,2023-06-19 13:00:00,2023-08-29 18:00:00,720,0.5547652916073968,0.4694
33,2.8188,7.3307,0.085419,0.4848,1.713,1.0398,1.055,33,0,2.8188,0,4.0,2,13,2023-08-29 19:00:00,2023-11-09 10:00:00,720,0.5248933143669986,0.1069
82,-3.2306,-9.3581,-0.039397,0.4512,0.794,5.0622,-0.664,82,0,-3.2306,0,4.0,4,14,2023-11-09 11:00:00,2024-01-23 16:00:00,720,0.4907539118065434,0.3083
102,-1.131,-3.6184,-0.011089,0.4118,0.927,5.0103,-0.271,102,0,-1.131,0,4.0,6,15,2024-01-23 17:00:00,2024-04-05 23:00:00,720,0.5391180654338549,0.4139
93,-4.1136,-13.0022,-0.044232,0.3656,0.74,4.6214,-0.991,93,0,-4.1136,0,4.0,7,16,2024-04-08 10:00:00,2024-06-20 15:00:00,720,0.4594594594594595,0.3542
2,-0.4887,-1.4222,-0.244348,0.0,0.0,0.4245,-1.918,2,0,-0.4887,0,4.0,2,17,2024-06-20 16:00:00,2024-08-30 21:00:00,720,0.5291607396870555,0.0056
85,4.9603,12.2751,0.058357,0.5176,1.245,6.9638,0.773,85,0,4.9603,0,4.0,5,18,2024-08-30 22:00:00,2024-11-12 15:00:00,720,0.5149359886201992,0.3236
49,14.0206,33.1285,0.286136,0.4694,1.831,4.3902,1.279,49,0,14.0206,0,4.0,5,19,2024-11-12 16:00:00,2025-01-27 18:00:00,720,0.5021337126600285,0.2083
77,2.5964,7.0606,0.033719,0.4935,1.145,3.1251,0.407,77,0,2.5964,0,4.0,5,20,2025-01-27 19:00:00,2025-03-25 09:00:00,720,0.5248933143669986,0.2833
