num_trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor,max_drawdown_pct,sharpe,long_trades,short_trades,long_pnl_pct,short_pnl_pct,avg_bars_held,max_consecutive_loss,split,test_start,test_end,bars,tft_dirac,signal_coverage
119,32.5174,17.8094,0.273255,0.521,1.356,22.0113,1.326,119,0,32.5174,0,4.0,8,1,2009-06-24 16:00:00,2009-10-16 16:00:00,720,,0.4958
114,16.6082,10.9236,0.145686,0.5439,1.277,12.8659,0.975,114,0,16.6082,0,4.0,5,2,2009-10-16 17:00:00,2010-02-17 14:00:00,720,,0.4847
102,-5.7353,-4.1572,-0.056228,0.4902,0.905,23.8099,-0.364,102,0,-5.7353,0,4.0,9,3,2010-02-17 15:00:00,2010-06-16 14:00:00,720,,0.4333
115,0.1489,-0.5341,0.001294,0.4783,1.003,19.235,0.01,115,0,0.1489,0,4.0,7,4,2010-06-16 15:00:00,2010-10-06 14:00:00,720,,0.4847
108,11.3886,10.362,0.10545,0.5,1.292,8.3047,0.958,108,0,11.3886,0,4.0,5,5,2010-10-06 15:00:00,2011-02-08 14:00:00,720,,0.4486
109,-3.0783,-3.5758,-0.028242,0.4862,0.933,14.4429,-0.285,109,0,-3.0783,0,4.0,6,6,2011-02-08 15:00:00,2011-06-06 14:00:00,720,,0.4458
103,-8.3151,-6.9419,-0.080729,0.4951,0.853,17.4738,-0.544,103,0,-8.3151,0,4.0,6,7,2011-06-06 15:00:00,2011-09-27 14:00:00,720,,0.4319
105,31.1485,22.0525,0.296652,0.5333,1.495,10.4509,1.536,105,0,31.1485,0,4.0,5,8,2011-09-27 15:00:00,2012-01-19 14:00:00,720,,0.4458
113,2.5784,1.2501,0.022818,0.531,1.057,10.7872,0.229,113,0,2.5784,0,4.0,6,9,2012-01-19 15:00:00,2012-05-14 13:00:00,720,,0.4542
120,-4.73,-4.1222,-0.039417,0.5583,0.911,13.0263,-0.393,120,0,-4.73,0,4.0,5,10,2012-05-14 14:00:00,2012-09-04 13:00:00,720,,0.4819
104,-4.0807,-4.3066,-0.039237,0.4519,0.878,9.5703,-0.551,104,0,-4.0807,0,4.0,4,11,2012-09-04 14:00:00,2012-12-26 13:00:00,720,,0.4319
116,2.459,1.9197,0.021198,0.5776,1.062,10.2874,0.245,116,0,2.459,0,4.0,5,12,2012-12-26 14:00:00,2013-04-26 13:00:00,720,,0.4986
105,-1.8994,-2.5618,-0.018089,0.4286,0.962,13.8406,-0.155,105,0,-1.8994,0,4.0,9,13,2013-04-26 14:00:00,2013-08-21 14:00:00,720,,0.4278
107,-0.2544,-0.854,-0.002377,0.4766,0.993,8.5999,-0.031,107,0,-0.2544,0,4.0,8,14,2013-08-21 15:00:00,2013-12-12 14:00:00,720,,0.4458
98,3.9015,-0.275,0.039812,0.5204,1.079,17.5389,0.195,98,0,3.9015,0,4.0,6,15,2013-12-12 15:00:00,2014-04-11 14:00:00,720,,0.4306
102,-7.6176,-6.9206,-0.074682,0.4902,0.863,20.4163,-0.554,102,0,-7.6176,0,4.0,5,16,2014-04-11 15:00:00,2014-08-07 14:00:00,720,,0.4
109,3.0164,1.3493,0.027673,0.4862,1.063,11.0856,0.236,109,0,3.0164,0,4.0,8,17,2014-08-07 15:00:00,2014-11-28 14:00:00,720,,0.4639
103,20.7289,9.9376,0.201251,0.4757,1.322,14.3118,0.949,103,0,20.7289,0,4.0,9,18,2014-11-28 15:00:00,2015-03-30 14:00:00,720,,0.4194
110,5.9351,2.8967,0.053956,0.5455,1.109,17.1552,0.433,110,0,5.9351,0,4.0,8,19,2015-03-30 15:00:00,2015-07-24 14:00:00,720,,0.4792
114,27.1667,21.3773,0.238304,0.5614,1.681,6.4424,2.108,114,0,27.1667,0,4.0,6,20,2015-07-24 15:00:00,2015-11-16 14:00:00,720,,0.4694
116,10.6563,9.8868,0.091864,0.5431,1.191,18.7711,0.73,116,0,10.6563,0,4.0,5,21,2015-11-16 15:00:00,2016-03-14 14:00:00,720,,0.4847
121,17.1,19.3734,0.141322,0.5868,1.327,6.4067,1.19,121,0,17.1,0,4.0,5,22,2016-03-14 15:00:00,2016-07-12 14:00:00,720,,0.5139
113,-3.7954,-5.9843,-0.033588,0.4602,0.898,8.1024,-0.445,113,0,-3.7954,0,4.0,9,23,2016-07-12 15:00:00,2016-11-01 14:00:00,720,,0.4528
111,9.1242,12.9975,0.0822,0.5045,1.235,11.4111,0.832,111,0,9.1242,0,4.0,5,24,2016-11-01 15:00:00,2017-02-24 17:00:00,720,,0.4569
103,1.4613,1.0877,0.014187,0.466,1.037,9.0559,0.141,103,0,1.4613,0,4.0,4,25,2017-02-24 18:00:00,2017-06-23 17:00:00,720,,0.4444
123,18.3979,30.887,0.149577,0.5203,1.598,3.39,2.029,123,0,18.3979,0,4.0,5,26,2017-06-23 18:00:00,2017-10-13 17:00:00,720,,0.5264
118,13.5529,29.0048,0.114855,0.4915,1.31,7.1864,1.005,118,0,13.5529,0,4.0,5,27,2017-10-13 18:00:00,2018-02-08 17:00:00,720,,0.475
104,-1.3047,-2.5467,-0.012545,0.4038,0.974,11.6714,-0.103,104,0,-1.3047,0,4.0,9,28,2018-02-08 18:00:00,2018-06-05 18:00:00,720,,0.45
103,-2.6303,-5.3522,-0.025537,0.4466,0.95,18.837,-0.184,103,0,-2.6303,0,4.0,7,29,2018-06-06 10:00:00,2018-09-25 18:00:00,720,,0.4306
115,15.098,27.2987,0.131287,0.5565,1.333,6.6827,1.161,115,0,15.098,0,4.0,5,30,2018-09-26 10:00:00,2019-01-21 18:00:00,720,,0.4792
110,4.4567,8.3632,0.040516,0.5,1.121,9.5839,0.465,110,0,4.4567,0,4.0,8,31,2019-01-22 10:00:00,2019-05-16 18:00:00,720,,0.4653
112,-7.483,-18.653,-0.066813,0.4732,0.817,16.3412,-0.752,112,0,-7.483,0,4.0,7,32,2019-05-17 10:00:00,2019-09-06 18:00:00,720,,0.4694
113,3.1342,7.3663,0.027736,0.4867,1.133,4.1637,0.496,113,0,3.1342,0,4.0,8,33,2019-09-09 10:00:00,2019-12-30 18:00:00,720,,0.4931
106,-0.5172,-9.7911,-0.004879,0.5283,0.991,21.4481,-0.031,106,0,-0.5172,0,4.0,8,34,2020-01-03 10:00:00,2020-04-28 18:00:00,720,,0.4306
113,15.2046,30.9115,0.134554,0.5133,1.458,4.6985,1.517,113,0,15.2046,0,4.0,5,35,2020-04-29 10:00:00,2020-08-03 22:00:00,720,,0.4639
108,0.2555,0.2505,0.002366,0.4259,1.01,6.703,0.038,108,0,0.2555,0,4.0,5,36,2020-08-03 23:00:00,2020-10-14 14:00:00,720,,0.4625
124,16.0181,35.2968,0.129178,0.5403,1.445,9.0539,1.543,124,0,16.0181,0,4.0,7,37,2020-10-14 15:00:00,2020-12-28 10:00:00,720,,0.5222
122,-4.3868,-13.0152,-0.035957,0.5082,0.897,13.5172,-0.45,122,0,-4.3868,0,4.0,6,38,2020-12-28 11:00:00,2021-03-15 19:00:00,720,,0.4958
115,1.2453,2.7654,0.010829,0.5478,1.046,6.3513,0.167,115,0,1.2453,0,4.0,6,39,2021-03-15 20:00:00,2021-05-27 11:00:00,720,,0.4722
121,-6.7308,-21.1474,-0.055626,0.4711,0.702,12.3462,-1.392,121,0,-6.7308,0,4.0,7,40,2021-05-27 12:00:00,2021-08-06 17:00:00,720,,0.4833
