year,trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor
2009,197,55.0676,34.3948,0.279531,0.5381,1.424
2010,336,1.1527,1.4758,0.003431,0.4911,1.007
2011,322,16.2386,8.3611,0.050431,0.5031,1.096
2012,360,-4.7416,-6.1531,-0.013171,0.5111,0.966
2013,340,0.7778,-1.1006,0.002288,0.4912,1.006
2014,317,12.381,0.976,0.039057,0.5079,1.074
2015,349,47.8332,34.1631,0.137058,0.5358,1.291
2016,363,35.1659,44.9354,0.096876,0.5262,1.252
2017,356,15.1419,23.8945,0.042533,0.4803,1.121
2018,340,14.1752,28.9008,0.041692,0.4706,1.091
2019,358,6.4628,9.5105,0.018052,0.5028,1.062
2020,456,30.8443,56.3214,0.067641,0.5022,1.198
2021,353,-9.7555,-31.0508,-0.027636,0.5099,0.893
