num_trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor,max_drawdown_pct,sharpe,long_trades,short_trades,long_pnl_pct,short_pnl_pct,avg_bars_held,max_consecutive_loss,split,test_start,test_end,bars,tft_dirac,signal_coverage
227,33.7572,21.0255,0.14871,0.4493,1.213,24.1407,1.159,123,104,41.9309,-8.1736,3.1,8,1,2009-06-24 16:00:00,2009-10-16 16:00:00,720,,0.9181
228,-9.2141,-5.8343,-0.040413,0.4386,0.924,26.9,-0.423,120,108,8.3525,-17.5666,3.1,7,2,2009-10-16 17:00:00,2010-02-17 14:00:00,720,,0.8847
226,-15.5963,-11.4181,-0.06901,0.3982,0.883,32.5618,-0.698,106,120,-10.3487,-5.2476,3.1,10,3,2010-02-17 15:00:00,2010-06-16 14:00:00,720,,0.9042
234,-21.2418,-17.4589,-0.090777,0.3889,0.81,36.3868,-1.208,122,112,-3.655,-17.5869,3.0,12,4,2010-06-16 15:00:00,2010-10-06 14:00:00,720,,0.9
223,14.7982,14.5701,0.06636,0.4484,1.21,8.5087,1.056,112,111,12.7354,2.0627,3.1,7,5,2010-10-06 15:00:00,2011-02-08 14:00:00,720,,0.9
236,-9.4661,-8.6186,-0.04011,0.4195,0.898,16.993,-0.633,117,119,-8.2304,-1.2357,3.0,9,6,2011-02-08 15:00:00,2011-06-06 14:00:00,720,,0.8931
213,10.8039,11.8627,0.050722,0.4413,1.099,30.5514,0.481,105,108,-5.8814,16.6853,3.3,9,7,2011-06-06 15:00:00,2011-09-27 14:00:00,720,,0.8764
217,33.3759,24.85,0.153806,0.4654,1.275,14.8977,1.333,108,109,29.5381,3.8378,3.2,6,8,2011-09-27 15:00:00,2012-01-19 14:00:00,720,,0.8694
229,-7.041,-6.7327,-0.030747,0.4105,0.916,17.0053,-0.523,118,111,0.8283,-7.8692,3.0,12,9,2012-01-19 15:00:00,2012-05-14 13:00:00,720,,0.9014
237,-25.9048,-22.1627,-0.109303,0.3713,0.752,32.8855,-1.624,127,110,-11.8322,-14.0726,2.9,7,10,2012-05-14 14:00:00,2012-09-04 13:00:00,720,,0.9014
223,-3.7441,-3.839,-0.01679,0.4215,0.936,9.1108,-0.365,107,116,-1.2842,-2.4599,3.1,7,11,2012-09-04 14:00:00,2012-12-26 13:00:00,720,,0.9042
224,9.5841,9.9523,0.042786,0.4688,1.144,7.3763,0.698,122,102,6.4608,3.1233,3.1,9,12,2012-12-26 14:00:00,2013-04-26 13:00:00,720,,0.9111
230,0.7946,0.5105,0.003455,0.4304,1.009,15.7978,0.055,110,120,-2.7593,3.5539,3.1,11,13,2013-04-26 14:00:00,2013-08-21 14:00:00,720,,0.9083
232,-1.468,-1.3444,-0.006327,0.4698,0.976,8.5707,-0.14,114,118,3.266,-4.734,3.0,8,14,2013-08-21 15:00:00,2013-12-12 14:00:00,720,,0.8889
218,18.4845,11.6498,0.084791,0.4771,1.206,16.8795,0.841,103,115,-0.2874,18.7718,3.2,6,15,2013-12-12 15:00:00,2014-04-11 14:00:00,720,,0.9125
236,14.0837,9.5715,0.059677,0.4703,1.158,19.7843,0.829,109,127,0.7588,13.3249,3.0,7,16,2014-04-11 15:00:00,2014-08-07 14:00:00,720,,0.8944
