year,trades,total_pnl_pct,total_pnl_pts,avg_trade_pct,win_rate,profit_factor
2009,380,20.783,12.1603,0.054692,0.4342,1.084
2010,708,-24.4898,-17.7952,-0.03459,0.4153,0.927
2011,680,43.4663,36.8654,0.063921,0.4456,1.135
2012,734,-46.8249,-42.0315,-0.063794,0.3965,0.827
2013,714,14.3935,14.0601,0.020159,0.4552,1.068
2014,703,78.0355,49.7504,0.111004,0.4723,1.262
2015,707,-3.1804,2.7214,-0.004498,0.4243,0.991
2016,737,-33.0226,-35.3967,-0.044807,0.403,0.887
2017,712,0.2066,-1.3145,0.00029,0.4157,1.001
2018,735,17.2335,53.9534,0.023447,0.4231,1.053
2019,713,-29.0379,-65.9299,-0.040726,0.3941,0.859
2020,946,-0.738,-10.1188,-0.00078,0.4197,0.998
2021,691,-28.8484,-85.4092,-0.041749,0.3951,0.82
