year,split,trades,n_long,n_short,n_flip,net_pnl,pf,win_rate,avg_trade,avg_1c,total_1c,pf_1c,max_dd,avg_contracts
2008,TR,14,9,5,0,1091417.26665,2.6211339034780425,50.0,77958.3761892857,85.28571428571429,1194.0,1.6811180832857957,491943.96385000006,502.07142857142856
2011,TR,47,19,28,0,1137861.91225,1.5155606746023835,46.808510638297875,24209.827920212767,33.42553191489362,1571.0,1.5710650672482733,948405.5433499999,971.3617021276596
2012,TR,50,14,36,0,642644.0997499987,1.1938798484222877,30.0,12852.881994999996,6.74,337.0,1.0829640571147219,1101878.82425,831.78
2013,TR,45,22,23,0,390226.99855000013,1.152537504624932,24.444444444444443,8671.711078888888,8.8,396.0,1.1670886075949367,1333078.3693500003,1099.2666666666667
2014,TR,41,28,13,0,2639177.0273499996,1.9655810561174285,29.268292682926827,64370.171398780476,116.34146341463415,4770.0,2.008030431107354,1342466.7332000001,702.1463414634146
2015,TR,39,17,22,0,6807225.3699,4.4409712397623595,38.46153846153847,174544.24025384616,785.0,30615.0,3.6177853783668232,763151.35075,179.84615384615384
2016,TR,61,19,42,0,-1441353.7667000005,0.6265364684655805,29.508196721311474,-23628.750273770493,-129.08196721311475,-7874.0,0.5829007310096409,1665114.7954000004,242.7704918032787
2017,TR,54,16,38,0,-1275093.8893000004,0.6818183038525774,31.48148148148148,-23612.84980185185,-75.31481481481481,-4067.0,0.6111854684512428,2325107.5116500002,390.01851851851853
2018,TR,50,21,29,0,1325482.8962500002,1.3412033662726524,32.0,26509.657924999992,37.88,1894.0,1.1688960228286072,1458633.9534999998,360.42
2019,TE,47,13,34,0,-762086.3179000001,0.7166143182094399,27.659574468085108,-16214.60250851064,-27.574468085106382,-1296.0,0.7691896705253785,1316792.7785499997,468.1063829787234
2020,TE,39,20,19,0,3915602.8864000007,2.8685651730788897,35.8974358974359,100400.07401025639,277.4102564102564,10819.0,2.208826815642458,749217.1427000002,266.15384615384613
2021,TE,53,20,33,0,1027976.2420999995,1.4058915557502483,33.9622641509434,19395.778152830186,40.320754716981135,2137.0,1.2889790398918188,795771.8890500001,377.41509433962267
2022,TE,11,8,3,0,453270.8547000001,1.8914445940299522,36.36363636363637,41206.44133636364,482.45454545454544,5307.0,3.16700694160882,356718.86275,200.0
