tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c
150,45,65,75,25,175,300,410,0.9925372928454078,0.9483769207185244,23,0,1,none,short,101.19488817891374,313,31674.0,0.4281150159744409,1.6620681005831819,593.3955223880597,-270.2881355932203,5892.0
300,45,55,85,50,165,140,410,0.9747758925163684,0.9512534221564155,14,0,0,none,short,99.65606936416185,346,34481.0,0.41040462427745666,1.6468381263248728,618.2253521126761,-261.30882352941177,5524.0
240,45,45,125,45,120,230,400,0.9535019629582842,0.9585586553033391,29,0,0,none,short,99.16447368421052,304,30146.0,0.39144736842105265,1.5490574628904472,714.7142857142857,-296.7837837837838,9671.0
180,45,70,65,60,105,110,690,0.9059187223891377,0.9988892296110108,29,0,1,none,short,94.79710144927536,345,32705.0,0.3884057971014493,1.6262686224196699,633.7835820895523,-247.49763033175356,5639.0
300,45,185,95,40,90,210,660,0.9176527594296802,0.9065336552052506,13,0,0,none,short,94.51923076923077,364,34405.0,0.4010989010989011,1.6433847592332866,601.917808219178,-246.42857142857142,6718.0
300,45,30,230,5,115,240,370,0.9384170659324648,0.9432930815578331,28,0,1,none,short,93.40096618357488,414,38668.0,0.45652173913043476,1.8178856973645248,454.74074074074076,-211.0625,3541.0
210,45,95,50,80,135,150,550,0.9921572820388699,0.9271812446428653,17,0,1,none,short,91.12779552715655,313,28523.0,0.43450479233226835,1.5187603441063602,614.0147058823529,-310.638418079096,6603.0
120,45,25,75,50,105,390,470,0.9850708427263452,0.9412292186867719,19,0,0,none,short,87.41975308641975,324,28324.0,0.44753086419753085,1.5023054550613606,584.2206896551725,-315.01675977653633,5528.0
210,60,35,155,90,20,80,410,0.9544777038402851,0.910147094543779,5,0,0,none,short,87.41800643086816,311,27187.0,0.4855305466237942,1.7289717120257406,427.0331125827815,-234.55974842767296,5580.0
180,60,30,100,25,65,210,450,0.9335486451117835,0.9316725554890769,9,0,0,none,short,87.20580474934037,379,33051.0,0.40633245382585753,1.5372748553221927,614.0714285714286,-274.625,5226.0
120,45,100,100,5,95,80,350,0.9782811810651851,0.922308453238603,9,0,1,none,short,84.95984703632887,523,44434.0,0.4187380497131931,1.7876413656184635,460.4931506849315,-185.57236842105263,5554.0
300,45,75,270,90,55,170,600,0.9237256105692331,0.9119820698115282,17,0,0,none,short,84.48844884488449,303,25600.0,0.41914191419141916,1.5635911322457785,559.2362204724409,-261.05172413793105,4266.0
300,45,125,145,20,15,280,460,0.9939378274058501,0.9284001853332371,12,0,0,none,short,81.36990595611286,319,25957.0,0.48589341692789967,1.7437322712816252,392.6322580645161,-214.11656441717793,3775.0
210,45,65,90,40,70,420,610,0.910946820756768,0.9231877674322018,8,0,1,none,short,80.74086378737542,301,24303.0,0.43853820598006643,1.3734097474033558,677.1742424242424,-385.11242603550295,7132.0
