rank_oos,koeff1,koeff2,sl_pts,train_avg_trade,train_trades,train_total_pnl,train_pf,train_max_dd_abs,train_max_dd_pct,oos_avg_trade,oos_trades,oos_total_pnl,oos_pf,oos_max_dd_abs,oos_max_dd_pct,delta_oos_pnl_vs_konkop,delta_oos_pf_vs_konkop,delta_oos_max_dd_pct_vs_konkop
1,0.5,0.5,10.0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
2,0.584215,0.5,10.0,1240.7725321888413,932,1156400.0,1.2241215574548907,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
3,0.565002,0.5,10.0,1240.2255639097743,931,1154650.0,1.223782390449057,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
4,0.525748,0.5,10.0,1248.3333333333333,930,1160950.0,1.2255502516907284,213610.0,4.272200000000001,1930.4046242774566,346,667920.0,1.3938091447775713,193690.0,3.8738,-10996203.0,-0.18619085522242873,-12.0562
5,0.990707,0.5,10.0,1226.4451827242524,903,1107480.0,1.2210936096304725,186290.0,3.7258,1916.927536231884,345,661340.0,1.3879282027217268,190960.0,3.8191999999999995,-11002783.0,-0.19207179727827328,-12.110800000000001
6,0.5,0.716677,10.0,1226.1650485436894,927,1136655.0,1.221181060609746,222610.0,4.4521999999999995,1916.7246376811595,345,661270.0,1.3927574450898637,193690.0,3.8738,-11002853.0,-0.18724255491013642,-12.0562
7,0.5,0.741791,10.0,1200.837837837838,925,1110775.0,1.2160721371937224,222610.0,4.4521999999999995,1916.7246376811595,345,661270.0,1.3927574450898637,193690.0,3.8738,-11002853.0,-0.18724255491013642,-12.0562
8,0.5,0.747997,10.0,1200.837837837838,925,1110775.0,1.2160721371937224,222610.0,4.4521999999999995,1916.7246376811595,345,661270.0,1.3927574450898637,193690.0,3.8738,-11002853.0,-0.18724255491013642,-12.0562
9,0.565706,0.731434,344.694,1190.9806034482758,928,1105230.0,1.2140615981747542,225940.0,4.5188,1916.7246376811595,345,661270.0,1.3927574450898637,193690.0,3.8738,-11002853.0,-0.18724255491013642,-12.0562
10,0.731299,0.5,10.0,1114.4962486602358,933,1039825.0,1.1996300463066065,252780.0,5.0556,1886.907514450867,346,652870.0,1.3815498801940271,190960.0,3.8191999999999995,-11011253.0,-0.19845011980597294,-12.110800000000001
11,0.834726,0.5,10.0,1138.3244111349036,934,1063195.0,1.2045073776498854,252780.0,5.0556,1886.907514450867,346,652870.0,1.3815498801940271,190960.0,3.8191999999999995,-11011253.0,-0.19845011980597294,-12.110800000000001
12,0.642497,0.5,10.0,1200.069667738478,933,1119665.0,1.2154324657658127,234130.0,4.6826,1886.907514450867,346,652870.0,1.3815498801940271,190960.0,3.8191999999999995,-11011253.0,-0.19845011980597294,-12.110800000000001
13,0.642444,0.5,10.0,1200.069667738478,933,1119665.0,1.2154324657658127,234130.0,4.6826,1886.907514450867,346,652870.0,1.3815498801940271,190960.0,3.8191999999999995,-11011253.0,-0.19845011980597294,-12.110800000000001
14,0.534068,0.635072,363.9561,1243.8336933045357,926,1151790.0,1.2251324506871017,211120.0,4.2223999999999995,1860.549132947977,346,643750.0,1.3784138068869842,193690.0,3.8738,-11020373.0,-0.20158619311301584,-12.0562
15,0.5,0.557208,10.0,1260.5005382131324,929,1171005.0,1.228321270638517,213610.0,4.272200000000001,1852.7167630057804,346,641040.0,1.3779605554081542,193690.0,3.8738,-11023083.0,-0.20203944459184586,-12.0562
16,0.5,0.629899,10.0,1263.671706263499,926,1170160.0,1.2287673763676512,209050.0,4.181,1837.8901734104047,346,635910.0,1.3738052410679646,193690.0,3.8738,-11028213.0,-0.20619475893203543,-12.0562
17,0.934732,0.763511,10.0,1133.0032292787944,929,1052560.0,1.203744425173439,254110.0,5.0822,1813.1304347826087,345,625530.0,1.3649320343037163,190960.0,3.8191999999999995,-11038593.0,-0.21506796569628372,-12.110800000000001
18,0.5,0.836805,10.0,1189.2168674698796,913,1085755.0,1.2127421320552862,246530.0,4.9306,1552.8279883381924,343,532620.0,1.3171263218062303,174160.0,3.4832,-11131503.0,-0.2628736781937697,-12.4468
19,0.525297,0.852157,10.0,1190.5537280701753,912,1085785.0,1.2127492608144463,246530.0,4.9306,1496.6666666666667,342,511860.0,1.30451000339098,172340.0,3.4467999999999996,-11152263.0,-0.27548999660902007,-12.4832
20,0.803545,0.958935,293.8176,1025.6524122807018,912,935395.0,1.1809141687844995,265210.0,5.3042,1475.0,332,489700.0,1.2995418483879058,171320.0,3.4264,-11174423.0,-0.2804581516120943,-12.503599999999999
21,0.922076,0.940391,334.3391,1076.9934282584884,913,983295.0,1.1908510217074004,256940.0,5.138800000000001,1375.3453453453453,333,457990.0,1.2744575150865038,174630.0,3.4926,-11206133.0,-0.3055424849134962,-12.4374
22,1.042719,0.631475,67.8229,1965.58908045977,348,684025.0,1.3927577881195112,114830.0,2.2966,3222.9824561403507,114,367420.0,1.7990691807485701,94240.0,1.8848,-11296703.0,0.21906918074857007,-14.0452
23,1.0,1.005,80.0,1208.5429936305732,628,758965.0,1.2155547382337613,258145.0,5.1629000000000005,1317.3275862068965,232,305620.0,1.3038395005269123,170450.0,3.4090000000000003,-11358503.0,-0.27616049947308774,-12.520999999999999
24,1.071532,0.952268,318.8385,1128.796992481203,133,150130.0,1.1946163867697672,103490.0,2.0698000000000003,1043.6363636363637,44,45920.0,1.2631820265933058,100590.0,2.0118,-11618203.0,-0.31681797340669426,-13.918199999999999
25,1.155076,0.821877,210.179,-2963.6363636363635,11,-32600.0,0.42311095381348435,31675.0,0.6335000000000001,-100.0,7,30130.0,1.835320210701414,7000.0,0.13999999999999999,-11633993.0,0.25532021070141386,-15.79
26,0.5,1.115258,10.0,-99.34782608695652,23,-2285.0,0.976524374582627,36940.0,0.7388,1501.0,10,15010.0,1.2510033444816053,47020.0,0.9403999999999999,-11649113.0,-0.32899665551839474,-14.9896
27,1.658555,0.5,10.0,-100.0,0,0.0,0.0,0.0,0.0,-100.0,0,0.0,0.0,0.0,0.0,-11664123.0,-1.58,-15.93
28,2.0,0.5,10.0,-100.0,0,0.0,0.0,0.0,0.0,-100.0,0,0.0,0.0,0.0,0.0,-11664123.0,-1.58,-15.93
