tf1,tf2,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,sl_type,direction,avg_trade_1c,num_trades,total_pts,win_rate,profit_factor,avg_win,avg_loss,max_dd_1c
180,60,270,265,30,155,160,690,0.9333437008694706,0.9023560261468816,17,0,0,none,long,187.203125,320,59905.0,0.375,2.52197662601626,827.2083333333334,-197.7889447236181,8220.0
240,60,260,290,30,130,90,620,0.9322683944077864,0.9238360568543305,5,0,0,none,long,186.98387096774192,310,57965.0,0.3967741935483871,2.6166053101294064,762.7723577235772,-192.7741935483871,8385.0
150,45,250,165,40,115,200,530,0.9880710385274769,0.9183734373773559,24,0,0,none,long,181.7344262295082,305,55429.0,0.419672131147541,2.525330911692672,716.9375,-206.4715909090909,6687.0
300,120,25,265,10,180,100,660,0.9709776075049579,0.9885208486104178,14,0,1,none,long,179.09771986970685,307,54983.0,0.3745928338762215,2.460100379743474,805.5652173913044,-197.15706806282722,8721.0
120,60,240,55,20,170,90,440,0.9200461539200877,0.9369137480605564,12,0,1,none,long,178.0,343,61054.0,0.43731778425655976,2.7628851095775704,637.9133333333333,-179.4455958549223,3449.0
300,60,250,30,30,15,300,570,0.9029243259447283,0.9642041897173216,18,0,0,none,long,173.48773006134968,326,56557.0,0.4171779141104294,2.4101880017952424,710.7573529411765,-211.0842105263158,5987.0
120,45,225,30,10,130,100,230,0.9692628147639211,0.9007709018849265,14,0,1,none,long,168.25438596491227,342,57543.0,0.48830409356725146,2.334547056913586,602.7604790419161,-247.80459770114942,5742.0
240,45,255,135,35,15,80,290,0.9558845526731509,0.9300551419505806,26,0,0,none,long,167.84821428571428,336,56397.0,0.43154761904761907,2.236532263369072,703.4896551724138,-241.31746031746033,8590.0
120,45,240,20,40,60,160,610,0.9440746695917288,0.9278076588536636,10,0,0,none,long,165.85384615384615,390,64683.0,0.43846153846153846,2.590357002360346,616.1111111111111,-188.2962962962963,6172.0
180,45,185,285,45,75,200,480,0.9041872830922257,0.9960866370656887,24,0,0,none,long,164.11400651465797,307,50383.0,0.4201954397394137,2.3209669384651685,686.2325581395348,-214.27528089887642,5474.0
300,60,190,285,25,95,270,660,0.9931316473988497,0.9620808550213157,18,0,1,none,long,163.86274509803923,306,50142.0,0.42483660130718953,2.256723226146019,692.623076923077,-226.69886363636363,8550.0
180,45,110,230,40,70,400,690,0.9464349852444162,0.9192751731464726,29,0,1,none,long,163.47402597402598,308,50350.0,0.4090909090909091,2.306706114398422,705.4126984126984,-212.88397790055248,11344.0
150,45,120,215,40,170,220,560,0.9557493714860984,0.9170696497225115,8,0,1,none,long,162.46483180428135,327,53126.0,0.40672782874617736,2.314609521924181,703.2932330827068,-209.38860103626942,6713.0
300,90,190,245,10,90,70,480,0.9507735194298552,0.9558040379522142,9,0,1,none,long,162.41486068111456,323,52460.0,0.4024767801857585,2.250924005055202,726.1307692307693,-217.2901554404145,3131.0
180,45,120,265,40,120,290,690,0.9446657213573297,0.9348290093160243,5,0,1,none,long,160.96594427244582,323,51992.0,0.4086687306501548,2.3124321595355295,693.9924242424242,-207.40837696335078,7500.0
