year,split,trades,n_long,n_short,n_flip,net_pnl,pf,win_rate,avg_trade,avg_1c,total_1c,pf_1c,max_dd,avg_contracts
2007,TR,42,17,25,0,744479.2690000004,2.133560744283914,33.33333333333333,17725.69688095238,1047.2619047619048,43985.0,1.8642302780233815,230408.1185,13.452380952380953
2008,TR,43,18,25,0,706286.4370000003,1.8602173833237698,30.23255813953488,16425.265976744184,2172.2093023255816,93405.0,2.1340375159351668,340662.672,10.651162790697674
2009,TR,53,33,20,0,1419422.9674999998,2.609065347317611,37.735849056603776,26781.565424528308,1363.6792452830189,72275.0,2.273456083164479,355118.24049999996,16.0188679245283
2010,TR,48,21,27,0,706226.2344999998,1.5545560205110998,39.58333333333333,14713.046552083331,1013.6458333333334,48655.0,1.931285290458417,539469.1355000003,21.520833333333332
2011,TR,49,19,30,0,729524.1875000002,1.6893230691148653,28.57142857142857,14888.248724489797,1087.5510204081634,53290.0,1.6651273090364453,290286.4795,14.36734693877551
2012,TR,69,33,36,0,-840976.4730000002,0.5428609608009761,20.28985507246377,-12188.064826086955,-503.6231884057971,-34750.0,0.6008499885136688,1023607.5319999999,22.942028985507246
2013,TR,39,15,24,0,745205.6340000003,2.183716854959512,51.28205128205128,19107.836769230773,776.9230769230769,30300.0,2.3208369659982564,123275.40399999998,27.666666666666668
2014,TR,43,18,25,0,615564.2250000001,1.7546929707213714,39.53488372093023,14315.447093023255,609.5348837209302,26210.0,1.701928227102303,229168.30999999994,22.441860465116278
2015,TR,57,25,32,0,686898.1439999999,1.6198678349948656,31.57894736842105,12050.84463157895,338.7719298245614,19310.0,1.388453027559847,189877.032,23.263157894736842
2016,TR,64,34,30,0,-800203.3319999999,0.5398547782206677,21.875,-12503.1770625,-342.96875,-21950.0,0.5978380359105899,1158004.0110000002,32.6875
2017,TR,61,31,30,0,331393.81700000004,1.227929310052204,24.59016393442623,5432.685524590163,70.49180327868852,4300.0,1.1229977116704806,563815.1100000001,42.42622950819672
2018,TR,46,18,28,0,758986.8430000002,1.9484159683643538,39.130434782608695,16499.71397826087,446.5217391304348,20540.0,1.7087646652864044,353651.31299999997,28.804347826086957
2019,TE,46,22,24,0,237344.74499999988,1.1908937664837722,36.95652173913043,5159.668369565215,321.95652173913044,14810.0,1.5033990482664854,512550.583,37.5
2020,TE,42,19,23,0,454247.29200000025,1.4623732682282378,35.714285714285715,10815.411714285716,497.85714285714283,20910.0,1.4229368932038835,441117.6969999999,22.857142857142858
2021,TE,58,26,32,0,113695.81700000004,1.0614302105926168,24.137931034482758,1960.2727068965494,64.82758620689656,3760.0,1.051499794548692,662879.788,26.46551724137931
2022,TE,40,16,24,0,666043.2620000001,1.9650374822292505,40.0,16651.081550000003,1975.5,79020.0,2.6625289290974123,192380.16800000018,16.7
