hour,minute,day_of_week,month,d1_volume,d1_tr,d1_adx,d1_ret_1d,d1_ret_5d,m1_volume,m1_ret_15m,m1_ret_60m,m1_ret_120m,is_long,entry_time,period,pnl_net,target
15,23,2,2,25844.0,6300.0,41.761901183043705,-0.015115914786967388,-0.01295133437990581,8.0,0.0031225604996096834,-0.003141848648229306,0.003827825951097541,1,2006-02-01 15:23:00,train,-45200.0,0
15,21,0,2,36250.0,3000.0,36.951129862344416,-0.01782945736434105,-0.0538421327757449,30.0,-0.002702702702702675,0.0,0.005058365758754846,1,2006-02-06 15:21:00,train,-31920.0,0
15,24,2,2,31442.0,2700.0,33.86597347497432,-0.003521399272502168,0.02389662027832995,10.0,0.0003909304143863146,0.0010170552339228145,0.006291781360597826,1,2006-02-08 15:24:00,train,0.0,0
15,15,3,2,41984.0,4725.0,32.06191130102199,0.016659547202050318,0.0015302218821728886,17.0,0.0041198501872659055,0.007856847486936491,0.01158359431007816,1,2006-02-09 15:15:00,train,-12800.0,0
16,36,2,2,19264.0,3300.0,31.199741352659956,0.006753983357588034,0.04772630189118865,17.0,0.004032709756917274,0.005948372615039332,0.007833583208395778,1,2006-02-15 16:36:00,train,100230.0,1
15,15,0,3,30603.0,4295.0,22.807945054629585,0.027629423912269413,0.06912135131130537,75.0,-0.005391304347826087,-0.01041666666666663,-0.01971203291052448,0,2006-03-20 15:15:00,train,7150.0,1
15,23,3,3,23852.0,2850.0,20.864819414496154,0.014762741652021072,0.032509566896749,106.0,-0.000647161006846253,0.0033170331361351835,0.005827905382242093,1,2006-03-23 15:23:00,train,-23270.0,0
14,48,3,3,26149.0,3750.0,17.706511299385546,-0.016885422831876884,-0.021891236577762374,2.0,0.00037945427575980517,0.0031131096506398226,0.007189247386517605,1,2006-03-30 14:48:00,train,745500.0,1
14,47,3,5,31936.0,8785.0,39.64428708284139,-0.03223094170403584,0.002904443799012446,321.0,-0.01837392238251434,-0.02765957446808509,-0.03868785354899229,0,2006-05-11 14:47:00,train,339720.0,1
14,35,2,6,63069.0,11740.0,26.105986891913606,-0.06598661141217721,-0.01545698924731187,101.0,0.0,-0.008450704225352101,-0.034624614329790915,0,2006-06-07 14:35:00,train,58900.0,1
14,58,0,6,32897.0,11390.0,28.909953610918425,-0.022668153102935684,-0.006272198292148423,143.0,0.003696857670979714,0.008169327887114664,0.011210845841558292,0,2006-06-19 14:58:00,train,-29500.0,0
17,15,2,6,44065.0,7050.0,22.1535717788694,0.042529585798816605,0.014028776978417312,218.0,0.0024665257223397408,0.00886524822695045,0.010298295454545414,1,2006-06-28 17:15:00,train,67000.0,1
15,47,4,7,48280.0,10380.0,19.503773497089078,-0.0510939552167089,-0.051519323748839274,73.0,-0.010802364291052413,-0.01847107995146291,-0.02084734364492269,0,2006-07-14 15:47:00,train,-29000.0,0
13,54,0,7,36125.0,7220.0,18.933902787740987,-0.007494429815677495,-0.054662379421221874,113.0,-0.0027075812274368616,0.0025123874659780387,-0.017139338373644453,0,2006-07-17 13:54:00,train,-96000.0,0
14,49,0,7,28759.0,4360.0,13.065086528784017,-0.00019110714740733226,0.06334688346883466,93.0,0.00019071837253648027,-0.0033258370023122596,0.0008269720101781175,1,2006-07-31 14:49:00,train,18600.0,1
13,44,0,8,32632.0,7550.0,23.155676573132478,-0.032391644428085065,-0.046460310743002275,146.0,0.0022480329711502822,0.0021854511395567044,0.008482563619227168,0,2006-08-21 13:44:00,train,-55800.0,0
18,0,1,9,20175.0,2795.0,17.27499851348445,0.010288831040039748,-0.0024785043297328446,307.0,0.0006355932203390147,0.0030338885349352473,0.006116859403530128,1,2006-09-05 18:00:00,train,-62050.0,0
13,59,3,9,29140.0,3765.0,18.059180682841298,-0.022088655146506375,-0.006351532918040803,15.0,6.277463904580394e-05,0.001918178673626647,0.0032115869017632637,0,2006-09-07 13:59:00,train,35230.0,1
13,49,0,9,34823.0,3420.0,16.178523854031685,-0.003059370916855264,-0.007959662586414673,304.0,-0.0013367707438174392,-0.00105062082139451,-0.0028284497552913956,0,2006-09-18 13:49:00,train,-81600.0,0
16,52,0,10,46930.0,3125.0,17.68528124966141,-0.0075568363752801515,-0.005933480868533292,26.0,-0.00031786395422761515,0.0026780590448256536,0.005113454777884385,1,2006-10-09 16:52:00,train,80860.0,1
14,54,0,10,47461.0,2520.0,12.51788100055718,-0.006780282206340527,-0.007053219749015294,1.0,0.0006864274570983486,-0.001618727431204059,-0.004871389121598568,0,2006-10-30 14:54:00,train,-103680.0,0
17,2,2,11,53758.0,3595.0,10.922190694699013,0.017905299466917546,0.004238336839500034,32.0,0.0018292682926828174,0.004862236628849326,0.0042787286063570296,1,2006-11-01 17:02:00,train,-25600.0,0
17,23,4,11,44621.0,2570.0,10.754549150138265,-0.00994542146755606,-0.002748763056624526,83.0,0.0012135922330096527,0.010719754977029039,0.009668339248561919,1,2006-11-03 17:23:00,train,12920.0,1
14,47,1,11,34619.0,3035.0,10.992911723631556,0.012985422026215776,0.01709717097170982,3.0,-0.0006249070078857555,0.0008046011264415398,0.006232023010546595,1,2006-11-07 14:47:00,train,546080.0,1
13,47,1,12,19251.0,1300.0,40.03514084564051,-0.0020484171322160405,0.016034235259066554,1.0,0.0014827195772901813,0.0009700105084471389,0.001590725262874182,0,2006-12-19 13:47:00,train,-34860.0,0
16,20,2,12,18283.0,1250.0,29.31813516253545,-0.00035044209618284583,0.007690217391304266,132.0,0.002057558186142172,0.007035823621032389,0.009366925064599574,1,2006-12-27 16:20:00,train,-235840.0,0
