trial,avg_trade,lookback,length,lookback2,length2,min_s,max_s,koeff1,koeff2,mmcoff,exitday,sdel_day,num_trades,total_pnl,win_rate,profit_factor,max_drawdown,sharpe
0,-3283.8888888888887,145,290,75,130,160,270,0.9116167224336399,1.0732352291549871,20,0,0,36,-118220.0,0.3333333333333333,0.8590395564431991,232990.0,-0.3756133394601523
1,1526.905737704918,100,95,25,80,310,420,0.9582458280396084,1.022370578944476,8,1,1,488,745130.0,0.5163934426229508,1.3078114704831383,181270.0,1.6089202556093964
4,139.94686503719447,285,275,65,190,130,290,0.9090454577821077,0.9650660661526529,15,1,0,941,131690.0,0.49415515409139216,1.0225369611982291,365725.0,0.13383386609591624
5,817.4189814814815,185,85,85,40,500,590,0.9397431363068345,0.9011044234247205,26,1,0,864,706250.0,0.5370370370370371,1.3780882785941808,155230.0,1.7614094535539406
7,700.5833333333334,230,240,60,160,300,460,0.98550820367171,0.905083825348819,7,1,1,900,630525.0,0.5244444444444445,1.1267339807464447,438770.0,0.7078031212356882
10,1682.0,55,145,10,80,360,510,1.091954149189084,1.035314475948556,5,1,1,50,84100.0,0.5,1.5207591566302363,31380.0,1.119766343797197
11,477.95454545454544,50,150,10,80,360,510,1.0996265587286884,1.0287682109920977,5,1,1,44,21030.0,0.4772727272727273,1.1176273177279974,43485.0,0.27989481247503034
12,1390.111821086262,55,145,10,75,400,700,1.030203160634319,1.0239115234416862,11,1,1,313,435105.0,0.549520766773163,1.385509236698711,123430.0,1.9545397181039925
13,-589.1176470588235,95,175,30,85,270,420,1.0992033978722426,1.0476223797415403,10,1,1,68,-40060.0,0.4264705882352941,0.9023891034465954,188340.0,-0.30982325651975134
14,1164.1576086956522,80,120,25,95,400,560,1.0514530076906363,0.9985267083991486,11,1,1,184,214205.0,0.5760869565217391,1.4099617224880383,61865.0,1.7930738821375158
15,800.9862671660425,120,50,25,60,250,410,0.9936225283528305,1.0034398310637183,5,1,1,801,641590.0,0.4993757802746567,1.1188291369288228,404920.0,0.663217560066645
16,2489.823529411765,200,205,40,110,330,650,1.074846355811031,1.0591735523787147,9,1,1,85,211635.0,0.5176470588235295,1.4577524954848757,57030.0,1.3261670839381003
17,1797.6363636363637,200,215,45,110,400,700,1.0742688662901976,1.0635060301655201,12,1,1,55,98870.0,0.5454545454545454,1.5440638327142662,42150.0,1.2671458049314852
18,-8267.682926829268,210,220,40,110,420,670,1.0697307498883573,1.0603952867662447,14,0,1,41,-338975.0,0.24390243902439024,0.4918144611186903,325080.0,-1.7005579266165036
20,2464.126213592233,190,200,100,135,320,620,1.0332965096148088,1.0722241133443622,19,1,1,103,253805.0,0.46601941747572817,1.477121909953943,101935.0,1.5027906298653415
21,2978.8695652173915,190,200,45,140,330,640,1.0260449673005527,1.0706982982922528,20,1,1,115,342570.0,0.5217391304347826,1.5993544041360126,74965.0,1.9077146034193602
22,1424.8076923076924,245,190,95,140,310,620,1.018792674273669,1.0776330045060698,21,1,1,78,111135.0,0.5256410256410257,1.2528927876574394,96125.0,0.8145631603501223
23,1932.9310344827586,180,245,80,145,340,550,1.0115035303145614,1.0961343623160082,19,1,1,58,112110.0,0.5862068965517241,1.550624984651654,38690.0,1.281532150312099
24,2614.7368421052633,210,200,50,125,280,640,1.0560289196043213,1.0498071702891947,23,1,1,171,447120.0,0.5906432748538012,1.501753421275593,136470.0,2.0923530410416347
25,3099.6,215,165,50,120,210,640,1.0542780577589923,1.0446853738353092,23,1,1,200,619920.0,0.575,1.5228127582775313,143110.0,2.279391918797738
26,1689.9484536082475,225,165,50,200,210,580,1.0529973839959326,1.0007699887881403,23,0,1,97,163925.0,0.3711340206185567,1.117471908501978,601250.0,0.3301616106745574
27,2475.6967213114754,270,250,35,155,260,520,1.0502437611002242,1.0458336781232858,25,1,1,244,604070.0,0.5532786885245902,1.3889271618689518,129500.0,1.9959424156616044
28,2912.1304347826085,165,165,50,125,180,660,1.044458914765374,1.012458520868348,27,1,1,345,1004685.0,0.5362318840579711,1.3914603712051994,137400.0,2.0221277389316565
29,7204.5306859205775,160,125,70,100,100,670,1.0014769563588102,1.012390124703115,27,0,0,277,1995655.0,0.35018050541516244,1.5025351438805894,718465.0,1.690849166851998
30,7361.375,130,125,65,95,110,690,0.9789409674930429,0.9845038546155378,22,0,0,320,2355640.0,0.375,1.4354852723955165,663475.0,1.5582138376818666
31,8587.953125,140,130,75,125,100,700,0.9839934837815886,0.9853382458114521,22,0,0,320,2748145.0,0.3375,1.5064491458268066,601500.0,1.6981308591403779
32,7935.287878787879,140,125,75,95,100,700,0.9784672815627455,0.9874023123002655,28,0,0,330,2618645.0,0.3606060606060606,1.4751143495276335,645440.0,1.6522038213674228
33,7925.28125,135,125,75,100,100,700,0.9758175054357249,0.9820744161330451,29,0,0,320,2536090.0,0.384375,1.4633477698069117,711700.0,1.649963099863336
